热度,作者,用户名,内容,链接,发布时间
157,Web3 Neighbor City,WNC_Lab,"🚨 AI CHAT AIRDROP CAMPAIGN 🚨  Farm $WNC, complete tasks, chat with the WNC AI agent and use the AI Assistant to climb the leaderboard.  Top ranked players will receive exclusive surprise rewards from ",https://twitter.com/WNC_Lab/status/2033848083797446771,Tue Mar 17 10:09:04 +0000 2026
74,JOE AGENT,JOEAGENT_BSC,"The Rebirth of JOE😃: From Avalanche's Hardworking Joe to @BNBCHAIN AI Agent JOE AGENT 🔸  A long time ago, on the snowy mountains of ETH, there was a guy named Trader $JOE. He worked from dawn to dusk ",https://twitter.com/JOEAGENT_BSC/status/2033818291576373379,Tue Mar 17 08:10:41 +0000 2026
67,Corelyth System,CorelythSystem,"Launch your AI agent in one click.  Smarter agents, better memory, secure skills marketplace, ready integrations and full control over every action.",https://twitter.com/CorelythSystem/status/2033539706269708349,Mon Mar 16 13:43:41 +0000 2026
43,Amjad Masad,amasad,Our code review agent is designed to help adversarial to our coding agent so it’s sometimes a bit too aggressive 😅,https://twitter.com/amasad/status/2033777451894231208,Tue Mar 17 05:28:24 +0000 2026
34,Tori,ToriRibolla,what’s the name of your ai agent?  asking for a friend… https://t.co/TSgp3HezHz,https://twitter.com/ToriRibolla/status/2033841148280590834,Tue Mar 17 09:41:31 +0000 2026
33,ValueStats,ValueStats_com,Marzo va volando 🚀 Nuestro BOT de tarjetas ya suma +48.2 unidades y un 29.4% yield... pero queremos más. 😈  Y hoy 16/03 vamos con 3 partidazos ya analizados:  🇮🇹 Cremonese vs Fiorentina 🇪🇸 Rayo Vallec,https://twitter.com/ValueStats_com/status/2033529466408898923,Mon Mar 16 13:03:00 +0000 2026
32,Rakib al hasan,Rakibmi21383392,"How Rialo Designed a System for AI Agent Labor  As AI agents become more capable @RialoHQ are starting to perform real economic work. They can analyze data, manage digital assets, complete online task",https://twitter.com/Rakibmi21383392/status/2033812666314305713,Tue Mar 17 07:48:20 +0000 2026
30,Guus ⚡️Atelier Amiri,guus_gustav,"IXS is coming to America!  The platform is live. The licenses are real. The product suite is open.  For AI-native companies sitting on stablecoin treasuries, IXS Agent Rail provides the compliant yiel",https://twitter.com/guus_gustav/status/2033859095833223258,Tue Mar 17 10:52:50 +0000 2026
26,Quantu,Quantu_AI,5K downloads for 8004-solana. Still rising. https://t.co/2r629Adgcs,https://twitter.com/Quantu_AI/status/2033622747973357893,Mon Mar 16 19:13:40 +0000 2026
21,DATAPOINTTELECOM Ltd,odesanmijamal_,"Landlord don change am for agent that he should return the 500K extra from the house rent collected from the new tenant, because his house rent is 400K not 900K. Wahala 😂",https://twitter.com/odesanmijamal_/status/2033881275979780402,Tue Mar 17 12:20:58 +0000 2026
20,Polycool,PolycoolApp,"Farm those lp rewards automatically 24/7 on our new feature """"LP Rewards""""  We handle everything:  > Smart market scoring to find the best opportunities  > Auto-placed orders at optimal prices  > Auto-r",https://twitter.com/PolycoolApp/status/2033670126441271381,Mon Mar 16 22:21:56 +0000 2026
20,MoMo,Momo_Agent_,"Momo isn’t just an assistant.  It’s a personal AI system designed to help you organize, build, and execute faster.  With multi-agent architecture, OpenClaw execution, persistent memory, app building, ",https://twitter.com/Momo_Agent_/status/2033692054874661309,Mon Mar 16 23:49:04 +0000 2026
17,Paul,Paul_Web3_,"Tomorrow, I’ll demo @Zyfai_ and show how we’re leveraging ERC-8004 for our deterministic agent 👀  Alongside an incredible lineup from @Google, @MetaMask, @ethereumfndn, and @coinbase  You can still jo",https://twitter.com/Paul_Web3_/status/2033627739140288835,Mon Mar 16 19:33:30 +0000 2026
13,BendrAI,BendrAI_eth,"Looking for agents brave enough to shake hands onchain.  Soul Handshake is live on @helixaxyz — exchange identity fragments, build your trust network. All recorded on Base via ERC-8004.  First handsha",https://twitter.com/BendrAI_eth/status/2033638026241315178,Mon Mar 16 20:14:23 +0000 2026
8,NutanixPartners,NutanixPartners,"The Future is Agentic. The platform is Nutanix.  Announcing Nutanix Agentic AI, a full-stack solution designed to transform “racked and stacked” hardware into a “running and regulated” AI factory. Rea",https://twitter.com/NutanixPartners/status/2033644546723127743,Mon Mar 16 20:40:17 +0000 2026
6,Gekko AI,Gekko_Agent,What we're shipping right now: ◆ Predictive Yield Forecast — LIVE in beta ◆ Multi-vault portfolio with daily performance tracking ◆ Smart rebalancing recommendations ◆ On-chain identity via ERC-8004 ◆,https://twitter.com/Gekko_Agent/status/2033667478434587089,Mon Mar 16 22:11:25 +0000 2026
4,λL-D1 | AI for Buzzer 🍉,F2aldi,"GLM-5 Turbo just dropped and the positioning is interesting. This isn't a general LLM. Zai built this specifically for agentic execution, OpenClaw.  From training data to optimization objectives, ever",https://twitter.com/F2aldi/status/2033727455039787394,Tue Mar 17 02:09:44 +0000 2026
2,Abdul.1,1_abdulxxl,"Yo, if you’re grinding trades on Base or Solana but your savings account is still looking empty… listen up. @gomorefun dropped MORE – basically Acorns but for degens like us. Trade how you normally do",https://twitter.com/1_abdulxxl/status/2033667284686786563,Mon Mar 16 22:10:39 +0000 2026
2,Bubba,BubbaDump222,"Imagine a platform being so broken, people are begging for AI agent launch mode as the only way to launch.  Boycott.   #SaveTheTrenches",https://twitter.com/BubbaDump222/status/2033834034426429698,Tue Mar 17 09:13:15 +0000 2026
1,Shrey | Insights,ShreyInsightsX,🔥@santisairi  Now live on @wasabi_protocol 🔥  3x leverage trading + yield vaults with real APY.  Built for scale. Built for agents. This is what professional DeFi infrastructure looks like. The agent ,https://twitter.com/ShreyInsightsX/status/2033852898455785752,Tue Mar 17 10:28:12 +0000 2026
