日期,菜品,品类,时段,销量
2026-07-01,招牌酸菜鱼,主菜,午市,50
2026-07-01,招牌酸菜鱼,主菜,晚市,80
2026-07-01,香辣蟹,主菜,午市,22
2026-07-01,香辣蟹,主菜,晚市,20
2026-07-01,蒜蓉西兰花,素菜,午市,17
2026-07-01,蒜蓉西兰花,素菜,晚市,21
2026-07-01,鲜榨橙汁,饮品,午市,51
2026-07-01,鲜榨橙汁,饮品,晚市,85
2026-07-01,古法酸梅汤,饮品,午市,30
2026-07-01,古法酸梅汤,饮品,晚市,40
2026-07-01,秘制炖蹄花,主菜,午市,3
2026-07-01,秘制炖蹄花,主菜,晚市,1
2026-07-02,招牌酸菜鱼,主菜,午市,70
2026-07-02,招牌酸菜鱼,主菜,晚市,54
2026-07-02,香辣蟹,主菜,午市,42
2026-07-02,香辣蟹,主菜,晚市,24
2026-07-02,蒜蓉西兰花,素菜,午市,22
2026-07-02,蒜蓉西兰花,素菜,晚市,20
2026-07-02,鲜榨橙汁,饮品,午市,53
2026-07-02,鲜榨橙汁,饮品,晚市,68
2026-07-02,古法酸梅汤,饮品,午市,44
2026-07-02,古法酸梅汤,饮品,晚市,69
2026-07-02,秘制炖蹄花,主菜,午市,1
2026-07-02,秘制炖蹄花,主菜,晚市,3
2026-07-03,招牌酸菜鱼,主菜,午市,58
2026-07-03,招牌酸菜鱼,主菜,晚市,69
2026-07-03,香辣蟹,主菜,午市,24
2026-07-03,香辣蟹,主菜,晚市,46
2026-07-03,蒜蓉西兰花,素菜,午市,16
2026-07-03,蒜蓉西兰花,素菜,晚市,36
2026-07-03,鲜榨橙汁,饮品,午市,85
2026-07-03,鲜榨橙汁,饮品,晚市,93
2026-07-03,古法酸梅汤,饮品,午市,41
2026-07-03,古法酸梅汤,饮品,晚市,47
2026-07-03,秘制炖蹄花,主菜,午市,3
2026-07-03,秘制炖蹄花,主菜,晚市,1
2026-07-04,招牌酸菜鱼,主菜,午市,42
2026-07-04,招牌酸菜鱼,主菜,晚市,66
2026-07-04,香辣蟹,主菜,午市,29
2026-07-04,香辣蟹,主菜,晚市,37
2026-07-04,蒜蓉西兰花,素菜,午市,25
2026-07-04,蒜蓉西兰花,素菜,晚市,16
2026-07-04,鲜榨橙汁,饮品,午市,65
2026-07-04,鲜榨橙汁,饮品,晚市,70
2026-07-04,古法酸梅汤,饮品,午市,43
2026-07-04,古法酸梅汤,饮品,晚市,73
2026-07-04,秘制炖蹄花,主菜,午市,3
2026-07-04,秘制炖蹄花,主菜,晚市,3
2026-07-05,招牌酸菜鱼,主菜,午市,65
2026-07-05,招牌酸菜鱼,主菜,晚市,78
2026-07-05,香辣蟹,主菜,午市,28
2026-07-05,香辣蟹,主菜,晚市,36
2026-07-05,蒜蓉西兰花,素菜,午市,23
2026-07-05,蒜蓉西兰花,素菜,晚市,23
2026-07-05,鲜榨橙汁,饮品,午市,86
2026-07-05,鲜榨橙汁,饮品,晚市,51
2026-07-05,古法酸梅汤,饮品,午市,48
2026-07-05,古法酸梅汤,饮品,晚市,66
2026-07-05,秘制炖蹄花,主菜,午市,2
2026-07-05,秘制炖蹄花,主菜,晚市,2
2026-07-06,招牌酸菜鱼,主菜,午市,62
2026-07-06,招牌酸菜鱼,主菜,晚市,59
2026-07-06,香辣蟹,主菜,午市,25
2026-07-06,香辣蟹,主菜,晚市,36
2026-07-06,蒜蓉西兰花,素菜,午市,17
2026-07-06,蒜蓉西兰花,素菜,晚市,26
2026-07-06,鲜榨橙汁,饮品,午市,63
2026-07-06,鲜榨橙汁,饮品,晚市,82
2026-07-06,古法酸梅汤,饮品,午市,56
2026-07-06,古法酸梅汤,饮品,晚市,39
2026-07-06,秘制炖蹄花,主菜,午市,3
2026-07-06,秘制炖蹄花,主菜,晚市,2
2026-07-07,招牌酸菜鱼,主菜,午市,68
2026-07-07,招牌酸菜鱼,主菜,晚市,50
2026-07-07,香辣蟹,主菜,午市,37
2026-07-07,香辣蟹,主菜,晚市,34
2026-07-07,蒜蓉西兰花,素菜,午市,27
2026-07-07,蒜蓉西兰花,素菜,晚市,36
2026-07-07,鲜榨橙汁,饮品,午市,49
2026-07-07,鲜榨橙汁,饮品,晚市,60
2026-07-07,古法酸梅汤,饮品,午市,29
2026-07-07,古法酸梅汤,饮品,晚市,66
2026-07-07,秘制炖蹄花,主菜,午市,2
2026-07-07,秘制炖蹄花,主菜,晚市,2
