asset_id	title_zh_cn	title_en	summary_zh_cn	summary_en	type	status	start_date	end_date	gsd_min_m	gsd_max_m	cadence	provider	bands	categories	keywords	bbox	license	source_url
AAFC/ACI	加拿大 AAFC 年度作物库存	Canada AAFC Annual Crop Inventory	从 2009 年开始，加拿大农业和食品部 (AAFC) 科学与技术局 (STB) 的地球观测团队开始生成年度作物类型数字地图。该研究重点关注 2009 年和 2010 年加拿大草原省，采用基于光学 (Landsat-5、…	Starting in 2009, the Earth Observation Team of the Science and Technology Branch (STB) at Agriculture and Agri-Food Canada (AAFC) began the process of generating annual crop type digital maps. Focusing on the Prairie Provinces in 2009 and 2010, a Decision Tree (DT) based methodology …	image_collection	ready	2009-01-01	2024-01-01	30.0	30.0	1 year cadence	Agriculture and Agri-Food Canada	landcover	agriculture	aafc, agriculture, canada, crop, landcover	-135.17, 36.83, -51.24, 62.25	OGL-Canada-2.0	https://developers.google.com/earth-engine/datasets/catalog/AAFC_ACI
ACA/reef_habitat/v1_0	Allen Coral Atlas (ACA) - Geomorphic Zonation and Benthic Habitat - v1.0 [deprecated]	Allen Coral Atlas (ACA) - Geomorphic Zonation and Benthic Habitat - v1.0 [deprecated]	The [Allen Coral Atlas](https://allencoralatlas.org/) dataset maps the geomorphic zonation and benthic habitat for the world's shallow coral reefs at 5m pixel resolution. The underlying satellite image data are temporal composites of [PlanetScope satellite](https://www.planet.com/products/basemap/) imagery spanning 2018-2020. The habitat maps are created via a machine learning approach with contextual editing, using a range of imagery, bathymetry, and derived products as input data, trained via a globally consistent reference dataset. A global mask layer is also included for use when generating global reporting statistics. A full description of the methods and approaches can be found in the methods section of the [Allen Coral Atlas website](https://allencoralatlas.org/methods/). The Allen Coral Atlas was funded by [Vulcan Inc.](https://vulcan.com/) and is managed by the [Arizona State University Center for Global Discovery and Conservation Science](https://gdcs.asu.edu/). Partners include [Planet](https://www.planet.com/), the [University of Queensland](https://www.uq.edu.au/), and the [National Geographic Society](https://www.nationalgeographic.org/). Scientific background publications: - Lyons, M. B., Roelfsema, C. M., Kennedy, E. V., Kovacs, E. M., Borrego-Acevedo, R., Markey, K., ... & Murray, N. J. (2020). Mapping the world's coral reefs using a global multiscale earth observation framework. Remote Sensing in Ecology and Conservation, 6(4), 557-568. [doi:10.1002/rse2.157](https://doi.org/10.1002/rse2.157) - Kennedy, E. V., Roelfsema, C. M., Lyons, M. B., Kovacs, E. M., Borrego-Acevedo, R., Roe, M., ... & Tudman, P. (2021). Reef Cover, a coral reef classification for global habitat mapping from remote sensing. Scientific Data, 8(1), 1-20. [doi:10.1038/s41597-021-00958-z](https://doi.org/10.1038/s41597-021-00958-z) - Roelfsema, C. M., Lyons, M., Murray, N., Kovacs, E. M., Kennedy, E., Markey, K., ... & Phinn, S. R. (2021). Workflow for the generation of expert-derived training and validation data: a view to global scale habitat mapping. Frontiers in Marine Science. [doi:10.3389/fmars.2021.643381](https://doi.org/10.3389/fmars.2021.643381) - Li, J., Knapp, D. E., Lyons, M., Roelfsema, C., Phinn, S., Schill, S. R., & Asner, G. P. (2021). Automated global shallow water bathymetry mapping using Google Earth Engine. Remote Sensing, 13(8), 1469. [doi:10.3390/rs13081469](https://doi.org/10.3390/rs13081469) - Li, J., Knapp, D. E., Fabina, N. S., Kennedy, E. V., Larsen, K., Lyons, M. B., ... & Asner, G. P. (2020). A global coral reef probability map generated using convolutional neural networks. Coral Reefs, 39(6), 1805-1815. [doi:10.1007/s00338-020-02005-6](https://doi.org/10.1007/s00338-020-02005-6) Allen Coral Atlas maps, bathymetry and map statistics are &copy; 2020 Allen Coral Atlas Partnership and Vulcan, Inc.	The [Allen Coral Atlas](https://allencoralatlas.org/) dataset maps the geomorphic zonation and benthic habitat for the world's shallow coral reefs at 5m pixel resolution. The underlying satellite image data are temporal composites of [PlanetScope satellite](https://www.planet.com/products/basemap/) imagery spanning 2018-2020. The habitat maps are created via a machine learning approach with contextual editing, using a range of imagery, bathymetry, and derived products as input data, trained via a globally consistent reference dataset. A global mask layer is also included for use when generating global reporting statistics. A full description of the methods and approaches can be found in the methods section of the [Allen Coral Atlas website](https://allencoralatlas.org/methods/). The Allen Coral Atlas was funded by [Vulcan Inc.](https://vulcan.com/) and is managed by the [Arizona State University Center for Global Discovery and Conservation Science](https://gdcs.asu.edu/). Partners include [Planet](https://www.planet.com/), the [University of Queensland](https://www.uq.edu.au/), and the [National Geographic Society](https://www.nationalgeographic.org/). Scientific background publications: - Lyons, M. B., Roelfsema, C. M., Kennedy, E. V., Kovacs, E. M., Borrego-Acevedo, R., Markey, K., ... & Murray, N. J. (2020). Mapping the world's coral reefs using a global multiscale earth observation framework. Remote Sensing in Ecology and Conservation, 6(4), 557-568. [doi:10.1002/rse2.157](https://doi.org/10.1002/rse2.157) - Kennedy, E. V., Roelfsema, C. M., Lyons, M. B., Kovacs, E. M., Borrego-Acevedo, R., Roe, M., ... & Tudman, P. (2021). Reef Cover, a coral reef classification for global habitat mapping from remote sensing. Scientific Data, 8(1), 1-20. [doi:10.1038/s41597-021-00958-z](https://doi.org/10.1038/s41597-021-00958-z) - Roelfsema, C. M., Lyons, M., Murray, N., Kovacs, E. M., Kennedy, E., Markey, K., ... & Phinn, S. R. (2021). Workflow for the generation of expert-derived training and validation data: a view to global scale habitat mapping. Frontiers in Marine Science. [doi:10.3389/fmars.2021.643381](https://doi.org/10.3389/fmars.2021.643381) - Li, J., Knapp, D. E., Lyons, M., Roelfsema, C., Phinn, S., Schill, S. R., & Asner, G. P. (2021). Automated global shallow water bathymetry mapping using Google Earth Engine. Remote Sensing, 13(8), 1469. [doi:10.3390/rs13081469](https://doi.org/10.3390/rs13081469) - Li, J., Knapp, D. E., Fabina, N. S., Kennedy, E. V., Larsen, K., Lyons, M. B., ... & Asner, G. P. (2020). A global coral reef probability map generated using convolutional neural networks. Coral Reefs, 39(6), 1805-1815. [doi:10.1007/s00338-020-02005-6](https://doi.org/10.1007/s00338-020-02005-6) Allen Coral Atlas maps, bathymetry and map statistics are &copy; 2020 Allen Coral Atlas Partnership and Vulcan, Inc.	image	deprecated	2018-01-01	2021-01-01	5.0	5.0		Allen Coral Atlas Partnership (ACA)	geomorphic, benthic, reef_mask	oceans	coral, ocean, oceans, planet-derived, reef, seagrass, sentinel2-derived	-180.0, -33.0, 180.0, 33.0	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/ACA_reef_habitat_v1_0
ACA/reef_habitat/v2_0	艾伦珊瑚礁地图集 (ACA) - 地貌分区和底栖生境 - v2.0	Allen Coral Atlas (ACA) - Geomorphic Zonation and Benthic Habitat - v2.0	Allen 珊瑚图集数据集以 5 米像素分辨率绘制了全球浅层珊瑚礁的地貌分区和底栖栖息地。此外，该数据集还包含一个全球礁石范围产品，用于绘制无法明确纳入地貌和底栖生物绘图中的其他礁石区域。底层卫星…	The Allen Coral Atlas dataset maps the geomorphic zonation and benthic habitat for the world's shallow coral reefs at 5 m pixel resolution. Also included is a global reef extent product that maps additional reef areas unable to be explicitly included in the geomorphic and …	image	ready	2018-01-01	2021-01-01	5.0	5.0		Allen Coral Atlas Partnership (ACA)	geomorphic, benthic, reef_mask	oceans	coral, oceans, planet-derived, reef, seagrass, sentinel2-derived	-180.0, -33.0, 180.0, 33.0	CC-BY-4.0	https://developers.google.com/earth-engine/datasets/catalog/ACA_reef_habitat_v2_0
AHN/AHN2_05M_INT	荷兰 AHN 0.5 米 DEM，插值	AHN Netherlands 0.5m DEM, Interpolated	AHN DEM 是一张覆盖荷兰的 0.5 米 DEM。该地图是根据 2007 年至 2012 年春季拍摄的激光雷达数据生成的。它包含地面级样本，其中已移除地面以上所有其他物品（例如建筑物、桥梁、树木等）。此版本经过插值处理；对象所在的区域	The AHN DEM is a 0.5m DEM covering the Netherlands. It was generated from LIDAR data taken in the spring between 2007 and 2012. It contains ground level samples with all other items above ground (such as buildings, bridges, trees etc.) removed. This version is …	image	ready	2012-01-01	2012-01-01	0.5	0.5		AHN	elevation	elevation-topography	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	3.35, 50.74, 7.24, 53.55	CC0-1.0	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_INT
AHN/AHN2_05M_NON	AHN 荷兰 0.5 米 DEM，非插值	AHN Netherlands 0.5m DEM, Non-Interpolated	AHN DEM 是一张覆盖荷兰的 0.5 米 DEM。该地图是根据 2007 年至 2012 年春季拍摄的激光雷达数据生成的。它包含地面级样本，其中移除了地面以上所有其他物品（例如建筑物、桥梁、树木等）。此版本是非插值版本；对象所在的区域	The AHN DEM is a 0.5m DEM covering the Netherlands. It was generated from LIDAR data taken in the spring between 2007 and 2012. It contains ground level samples with all other items above ground (such as buildings, bridges, trees etc.) removed. This version is …	image	ready	2012-01-01	2012-01-01	0.5	0.5		AHN	elevation	elevation-topography	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	3.35, 50.74, 7.24, 53.55	CC0-1.0	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_NON
AHN/AHN2_05M_RUW	荷兰 AHN 0.5 米 DEM，原始样本	AHN Netherlands 0.5m DEM, Raw Samples	AHN DEM 是一张覆盖荷兰的 0.5 米 DEM。该地图是根据 2007 年至 2012 年春季拍摄的激光雷达数据生成的。此版本包含地面级样本和地面以上物品（例如建筑物、桥梁、树木等）。点云已转换为 0.5 米 …	The AHN DEM is a 0.5m DEM covering the Netherlands. It was generated from LIDAR data taken in the spring between 2007 and 2012. This version contains both ground level samples and items above ground level (such as buildings, bridges, trees etc). The point cloud …	image	ready	2012-01-01	2012-01-01	0.5	0.5		AHN	elevation	elevation-topography	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	3.35, 50.74, 7.24, 53.55	CC0-1.0	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_RUW
AHN/AHN3	AHN3：荷兰 AHN 0.5 米	AHN3: Netherlands AHN 0.5m	Actueel Hoogtebestand Nederland (AHN) 是一个数据集，包含荷兰全境详细且精确的海拔数据。海拔信息是使用激光技术从直升机和飞机上收集的，垂直精度为 5 厘米。AHN3 数据集包含荷兰 AHN 0.5 米 DSM 和 DTM 变量。数据…	The Actueel Hoogtebestand Nederland (AHN) is a dataset with detailed and precise elevation data for the whole of the Netherlands. Elevation information was collected from helicopters and aircraft using laser technology with vertical accuracy of 5 cm. AHN3 Dataset contains the Netherlands AHN 0.5m DSM …	image_collection	ready	2014-01-01	2019-01-01	0.5	0.5		AHN	dtm, dsm	elevation-topography	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	3.35, 50.74, 7.24, 53.55	CC0-1.0	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN3
AHN/AHN4	AHN4：荷兰 AHN 0.5 米	AHN4: Netherlands AHN 0.5m	Actueel Hoogtebestand Nederland (AHN) 是一个数据集，包含荷兰全境详细且精确的海拔数据。海拔信息是使用激光技术从直升机和飞机上收集的，垂直精度为 5 厘米。AHN4 数据集包含荷兰 AHN 0.5 米 DSM 和 DTM 变量。数据…	The Actueel Hoogtebestand Nederland (AHN) is a dataset with detailed and precise elevation data for the whole of the Netherlands. Elevation information was collected from helicopters and aircraft using laser technology with vertical accuracy of 5 cm. AHN4 Dataset contains the Netherlands AHN 0.5m DSM …	image_collection	ready	2020-01-01	2022-01-01	0.5	0.5		AHN	dtm, dsm	elevation-topography	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	3.35, 50.74, 7.24, 53.55	CC0-1.0	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN4
AIRBUS/SPOT_2_4_5/BRAZIL/2007_2009/MS/V1	SPOT 多光谱图像 10-20 米，巴西	SPOT Multispectral Imagery 10-20m, Brazil	此合集提供 2008 年左右巴西境内 SPOT 2、4 和 5 卫星的原始多光谱图像。这些任务由 CNES 负责运营，旨在提供高分辨率、广域光学图像，以用于管理地球资源。SPOT 2 和 4 采用 HRV 和 HRVIR“推扫式”传感器，具有 60…	This collection provides 2008-era raw multispectral imagery from the SPOT 2, 4, and 5 satellites over the country of Brazil. These missions, operated by CNES, were designed to provide high-resolution, wide-area optical imagery for managing Earth's resources. SPOT 2 and 4 utilized HRV and HRVIR …	image_collection	ready	2007-01-01	2009-11-26	20.0	20.0		Google/CNES	G, R, N, S	satellite-imagery	brazil, forest-code, google, multispectral, satellite-imagery, spot	-74.0, -34.0, -34.0, 6.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/AIRBUS_SPOT_2_4_5_BRAZIL_2007_2009_MS_V1
AIRBUS/SPOT_2_4_5/BRAZIL/2007_2009/MS_NC/V1	SPOT 多光谱伪自然色图像，分辨率为 10-20 米，巴西	SPOT Multispectral Pseudo Natural Color Imagery 10-20m, Brazil	此集合包含 2008 年左右的“伪自然色”RGB 图像，这些图像是从 SPOT 2、4 和 5 的原生多光谱波段中提取的，适用于巴西。由于 HRV 和 HRG 传感器不包含原生蓝色波段，因此该产品会合成 RGB 表示形式，以近似呈现自然外观的陆地…	"This collection contains 2008-era ""pseudo natural color"" RGB images derived from the native multispectral bands of SPOT 2, 4, and 5 for Brazil. Because the HRV and HRG sensors did not include a native blue band, this product synthesizes an RGB representation to approximate a …"	image_collection	ready	2007-01-01	2009-11-26	20.0	20.0		Google/CNES	R, G, B, cloud_mask	satellite-imagery	brazil, forest-code, google, rgb, satellite-imagery, spot	-74.0, -34.0, -34.0, 6.0	proprietary	https://developers.google.com/earth-engine/datasets/catalog/AIRBUS_SPOT_2_4_5_BRAZIL_2007_2009_MS_NC_V1
