供应商名称，零件类型，供应商等级，决策通过日期，SDC 签约状态，SDC 签约日期，签约天数，SDC 签约产能，LCR 要求产能，设计产能，GP9 状态，GP9 实测产能，GP9 完成日期，验收状态，产能是否达标，未签约原因，未通过原因
拓普，悬挂系统，A 类，2026-01-15，已签约，2026-01-18,3,1200,1000,1500,G9 已完成，1150,2026-02-20，通过，是，，
三花，热管理，A 类，2026-01-15，已签约，2026-01-20,5,1000,800,1200,G9 已完成，950,2026-02-22，通过，是，，
弗迪，电池包，A 类，2026-01-15，未签约，，，1500,1500,2000，未开始，，，，，商务谈判中，
供应商 D，电机，B 类，2026-01-16，已签约，2026-02-01,16,1400,1200,1600,G9 已完成，1100,2026-03-01，不通过，否，，设备老化
供应商 E，电池包，B 类，2026-01-16，已签约，2026-02-05,20,1300,1200,1500,G9 已完成，1250,2026-03-02，通过，是，，
供应商 F，电控，B 类，2026-01-17，已签约，2026-01-22,5,1100,1000,1300,G9 已完成，1050,2026-02-25，通过，是，，
供应商 G，热管理，B 类，2026-01-17，已签约，2026-01-23,6,900,800,1100,G9 已完成，800,2026-02-26，不通过，否，，工艺落后
供应商 H，悬挂系统，C 类，2026-01-18，已签约，2026-01-25,7,1000,900,1200,G9 已完成，900,2026-02-28，不通过，否，，人员不足
供应商 I，电池包，C 类，2026-01-18，已签约，2026-02-10,23,1500,1400,1700,G9 已完成，1300,2026-03-03，不通过，否，，设备老化
供应商 J，电机，A 类，2026-01-19，已签约，2026-01-24,5,1300,1200,1500,G9 已完成，1280,2026-02-28，通过，是，，
供应商 K，电控，A 类，2026-01-19，已签约，2026-01-23,4,1200,1100,1400,G9 已完成，1180,2026-03-01，通过，是，，
供应商 L，热管理，B 类，2026-01-20，已签约，2026-01-26,6,950,850,1150,G9 已完成，920,2026-03-02，通过，是，，
供应商 M，悬挂系统，B 类，2026-01-20，已签约，2026-01-27,7,1100,1000,1300,G9 已完成，1080,2026-03-03，通过，是，，
供应商 N，电池包，A 类，2026-01-21，已签约，2026-01-26,5,1600,1500,1800,G9 已完成，1550,2026-03-04，通过，是，，
供应商 O，电机，B 类，2026-01-21，已签约，2026-01-28,7,1250,1150,1450,G9 已完成，1200,2026-03-05，通过，是，，
供应商 P，电控，C 类，2026-01-22，已签约，2026-01-29,7,1050,950,1250,GP9 执行中，，，，，，
供应商 Q，热管理，C 类，2026-01-22，已签约，2026-01-30,8,900,800,1100,GP9 执行中，，，，，，
供应商 R，悬挂系统，A 类，2026-01-23，已签约，2026-01-29,6,1150,1050,1350,GP9 执行中，，，，，，
供应商 S，电池包，B 类，2026-01-23，已签约，2026-01-31,8,1550,1450,1750，未开始，，，，，，
供应商 T，电机，B 类，2026-01-24，已签约，2026-02-01,8,1280,1180,1480，未开始，，，，，，
