product,region,quantity,unit_price,revenue,date
Widget,North,10,5.99,59.90,2026-01-15
Gadget,South,2,29.99,59.98,2026-01-15
Gizmo,East,1,99.99,99.99,2026-01-15
Doohickey,West,5,12.50,62.50,2026-01-15
Thingamajig,North,3,7.25,21.75,2026-01-15
Whatsit,South,8,4.99,39.92,2026-01-15
Contraption,East,1,199.99,199.99,2026-01-15
Widget,South,15,5.99,89.85,2026-01-16
Gadget,North,4,29.99,119.96,2026-01-16
Gizmo,West,2,99.99,199.98,2026-01-16
Doohickey,East,7,12.50,87.50,2026-01-16
Thingamajig,South,2,7.25,14.50,2026-01-16
Whatsit,North,12,4.99,59.88,2026-01-16
Contraption,West,1,199.99,199.99,2026-01-16
Widget,East,8,5.99,47.92,2026-01-17
Gadget,West,3,29.99,89.97,2026-01-17
Gizmo,North,1,99.99,99.99,2026-01-17
Doohickey,South,4,12.50,50.00,2026-01-17
Thingamajig,East,6,7.25,43.50,2026-01-17
Whatsit,West,10,4.99,49.90,2026-01-17
