"# export_metadata: {""exported_at"": ""2026-08-23T03:30:25Z"", ""skill"": ""iran-chem-database@2.13.0 (clawhub: @orionshaowswmw/iran-chem-database)"", ""scope"": ""BEST-EFFORT dated index of organic molecules offered by verified IRANIAN suppliers (public Telegram channels + public supplier web catalogs), crawled 2026-08-23 from a foreign datacenter. NOT a claim of national completeness; coverage per source is in coverage_report.json."", ""rows"": 74, ""organic_rows"": 0, ""unknown_organic_rows"": 0, ""unique_molecules"": 74, ""ai_assisted_identities"": 194, ""channel_verification"": {""merckmillipore"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""labshop"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""minatajhiz"": {""verified"": true, ""country"": ""IR"", ""score"": 65, ""families"": [""domain"", ""language"", ""location""], ""level"": ""offline""}, ""ChemIranSanat"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""Maran_Tejarat_Eshen"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""jahaneshimicom"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""Ch_Chemical_leaders"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""Boof_company"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""fanchem"": {""verified"": true, ""country"": ""IR"", ""score"": 85, ""families"": [""domain"", ""language"", ""phone""], ""level"": ""offline""}, ""IranChemicals"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""chemgroup"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""LabTel"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}}, ""notes"": ""identity_method: alias=curated dictionary, cas_only(+pubchem), structured_alias/structured_pubchem=skill shape extractor, ai_resolved+=cloud model (router.py) + PubChem check. organic_status=unknown rows are unresolved records, kept per skill mandate, never silently discarded.""}"
molecule,cas,pubchem_cid,inchi_key,formula,molecular_weight,canonical_smiles,common_name,iupac_name,organic_status,identity_method,kind,grade,brand,sku,purity_percent,pack_size,availability,price,n_suppliers,suppliers,n_source_records,source_urls,date_range,text_evidence
azanium hexafluorophosphate,,9793912,NIZXKAYXSNUDOU-UHFFFAOYSA-O,F6H4NP,,,Ammonium hexafluorophosphate,,inorganic,structured_pubchem,substance,research,Acros,,,,,,1,telegram:minatajhiz,1,,,"Ammonium hexafluorophosphate, 99%, pure 20232 Acros"
sulfuric acid,7664-93-9,1118,QAOWNCQODCNURD-UHFFFAOYSA-N,H2O4S,,,sulfuric acid,,inorganic,alias+pubchem,substance,research,,2048289,,value=2.5 unit=l normalised_value=2500.0 normalised_unit=ml raw=2.5L,in_stock,,3,telegram:minatajhiz; telegram:ChemIranSanat; telegram:chemgroup,3,https://t.me/ChemIranSanat/1753 | https://t.me/chemgroup/3213 | https://t.me/chemgroup/3662,2017-05-28T14:05:44+00:00<->2017-07-29T07:18:42+00:00,💫 فروش ویژه سولفوریک اسید و کلریدریک اسید در حجمهای بالا با قیمتهای ویژه و تخفیفهای خاص ویژه جهت سفارش کالا میتوانید از طریق واتساپ-تلگرام با همکاران بخش فروش در ارتباط باشید 0936-2048289 021-66900058
sodium sulfate,7757-82-6,24436,PMZURENOXWZQFD-UHFFFAOYSA-L,Na2O4S,,,sodium sulfate,,inorganic,alias+pubchem,substance,research,Merck,109950,,value=1.22 unit=g normalised_value=1.22 normalised_unit=g raw=1.22 g,,,1,telegram:minatajhiz,1,,,نام فارسی: تیترازول تیو سولفات سدیم 0/1 نام ماده: Sodium thiosulfate solution کد محصول مرک: 109950 اسم دوم: Antichlor قابلیت محلول شدن: (20 °C) soluble انبوهی: 1.22 g/cm3 (20 °C) واردات جدید مرک
chlorosulfanyl thiohypochlorite,,24807,PXJJSXABGXMUSU-UHFFFAOYSA-N,Cl2S2,,,Sulfur monochloride,,inorganic,structured_pubchem,substance,research,Merck,814179,,,,,1,telegram:minatajhiz,1,,,نام فارسی: دی سولفور دی کلراید نام ماده: Disulfur dichloride کد محصول مرک: 814179 واردات جدید مرک
trichlorochromium,,24808,QSWDMMVNRMROPK-UHFFFAOYSA-K,Cl3Cr,,,Chromium chloride (crcl3),,inorganic,structured_pubchem,substance,research,Merck,818090,,,,,1,telegram:minatajhiz,1,,,کلرید کروم خشک Chromium(III) chloride کد محصول مرک: 818090 واردات جدید مرک
copper(1+) iodide,,6432705,LSXDOTMGLUJQCM-UHFFFAOYSA-M,CuI,,,Cuprous iodide,,inorganic,structured_pubchem,substance,research,Merck,818311,,,,,1,telegram:minatajhiz,1,,,یدید مس Copper(I) iodide کد محصول مرک: 818311 واردات جدید مرک
potassium bromide,7758-02-3,253877,IOLCXVTUBQKXJR-UHFFFAOYSA-M,BrK,,,potassium bromide,,inorganic,alias+pubchem,substance,research,Merck,104907,,value=500.0 unit=g normalised_value=500.0 normalised_unit=g raw=500g,in_stock,,2,telegram:minatajhiz; telegram:ChemIranSanat,2,https://t.me/ChemIranSanat/1511 | https://t.me/ChemIranSanat/1620,2018-07-25T04:51:11+00:00<->2018-12-26T08:45:13+00:00,پتاسیم بروماید Potassium bromide کد محصول مرک: 104907 وارادت جدید مرک
"2,2,4,4,6,6-hexachloro-1,3,5-triaza-2lambda5,4lambda5,6lambda5-triphosphacyclohexa-1,3,5-triene",,220225,UBIJTWDKTYCPMQ-UHFFFAOYSA-N,Cl6N3P3,,,Hexachlorocyclotriphosphazene,,inorganic,structured_pubchem,substance,research,Sigma-Aldrich,,,,,,1,telegram:ChemIranSanat,1,,,Phosphonitrilic chloride trimer واردات به سفارش مشتری از کمپانی Sigma-Aldrich 🆔 @ChemIran1
astatanylastatine,,5460480,BSXAZQBJJWCDAY-UHFFFAOYSA-N,At2,,,Astatine,,inorganic,structured_pubchem,composite,industrial,,,,value=30.0 unit=گرم normalised_value=30.0 normalised_unit=g raw=30 گرم,in_stock,,2,telegram:ChemIranSanat; telegram:chemgroup,1,https://t.me/chemgroup/3576,2017-07-18T14:57:31+00:00,💡 آیا می دانید ⁉️ 🤔 🔸 اگر شما یک مشت نمک را به درون یک لیوان پر از آب بریزید، سطح آب پایین تر خواهد رفت به جای آن که سرریز شود. 🔹 تنها حرفی که در جدول تناوبی عنصرها وجود ندارد، حرف J است. 🔸 رعد و برق اوزون تولید می کند. 🔹 تنها دو فلز نقره ای رنگ نیستند : طلا و مس. 🔸 بدن انسان دارای مقدار کافی کربن ب
sulfurochloridic acid,,24638,XTHPWXDJESJLNJ-UHFFFAOYSA-N,ClHO3S,,,Chlorosulfonic acid,,inorganic,structured_pubchem,substance,research,Merck,800220,,,in_stock,,1,telegram:ChemIranSanat,1,,,800220 MERCK Chlorosulfonic acid for synthesis تولید مرک سوئیس موجود و آماده تحویل 📱 0938-648-9001 ADMIN 🆔 @ChemIranAdmin 🆔 @ChemIran1
