# export_metadata: {"exported_at": "2026-08-24T11:55:00Z", "rows": 96, "scope": "best-effort index of public Iranian supplier catalogues", "skill": "iran-chem-database@2.17.2 (parallel-AI run)", "note": "inorganic rows rejected at the organic gate"}
molecule,name_variants,cas_number,inchi_key,pubchem_cid,molecular_formula,organic_status,identity_method,vendors,offerings,brand,pack,price,price_currency,availability,evidence_text,evidence_url,evidence_by,sources,provenance_hash
Potassium bromide,Potassium bromide | potassium bromide,7758-02-3,IOLCXVTUBQKXJR-UHFFFAOYSA-M,253877,BrK,false,structured_pubchem,ChemIranSanat; minatajhiz,4,Merck,500g,,,in_stock,104907 پتاسیم برماید مرک گرید IR موجود و آماده تحویل می باشد @ChemIranAdmin 🆔 @ChemIran1,https://t.me/ChemIranSanat/215,ai_corrected:llm7,ai_corrected+structured_pubchem,c41665835338cc66
zinc nitrate,zinc nitrate,7779-88-6,ONDPHDOFVYQSGI-UHFFFAOYSA-N,24518,,false,structured_pubchem,ChemIranSanat,1,,,,,in_stock,نیترات روی شش آبه بلورین 99% 500 گرم، کاتالوگ نامبر: 12313 کمپانی آلفا ایسر بریتانیا موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ❓ قیمت و سفارش 👇 Admin 🆔 @ChemIranAdmin 🆔 @ChemIran1,https://t.me/ChemIranSanat/1359,rules+ai-audit,structured_pubchem,3b0567e4d4231c17
sulfuric acid,sulfuric acid,7664-93-9,QAOWNCQODCNURD-UHFFFAOYSA-N,1118,,false,structured_pubchem,ChemIranSanat; minatajhiz,2,,2.5L,,,in_stock,"Biochem (France) Sulfuric acid 98%, 2.5L Laboratory reagent 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی 📱 دریافت قیمت یا سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1",https://t.me/ChemIranSanat/1753,rules+ai-audit,structured_pubchem,edc09191d243f68f
sodium thiosulfate,sodium thiosulfate,7772-98-7,AKHNMLFCWUSKQB-UHFFFAOYSA-L,24477,Na2O3S2,false,,minatajhiz,1,Merck,1.22 g,,,,نام فارسی: تیترازول تیو سولفات سدیم 0/1 نام ماده: Sodium thiosulfate solution کد محصول مرک: 109950 اسم دوم: Antichlor قابلیت محلول شدن: (20 °C) soluble انبوهی: 1.22 g/cm3 (20 °C) واردات جدید مرک,https://t.me/minatajhiz/980,ai_corrected:mistral,ai_corrected,63d408f0c22ee98b
,,112-88-9,,,,false,live,minatajhiz,1,Merck,252.48 g,,,,نام فارسی: 1 اکتا دسن نام ماده: 1-Octadecene مختصر: 1-Octadecene کد محصول مرک: 822112 اسم دوم: 1-Octadecylene فرمول: C18H36 C A S NUMBER: 112-88-9 مولار: 252.48 g/mol قابلیت محلول شدن: (20 °C) practically insoluble نقطه جوش: 315 °C (1013 hPa) درجه ذوب: 17 - 18 °C انبوهی: 0.79 g/cm3 (20 °C) واردات جد,https://t.me/minatajhiz/986,rules+ai-audit,live,66acc10a5fc50e96
ammonium persulfate,ammonium persulfate,7727-54-0,ROOXNKNUYICQNP-UHFFFAOYSA-N,62648,,false,structured_pubchem,Boof_company,6,,25 کیلو,,,,🔰 محصول آمونیم پرسولفات Ammonium Persulfate (APS) ➖️ نام علمی : Ammonium Persulfate (آمونیم پرسولفات) ➖️ فرمول شیمیایی : (NH₄)₂S₂O₈ ➖️ ماده پایه : اکسید کننده (نمک معدنی) ➖️ برند : آکیم (Akkim) ➖️ کشور : ترکیه (Turkey) ➖️ وزن بسته : 25 کیلو گرم ➖️ کیسه : 1000 کیلو گرم (40 کیسه) ➖️ قیمت : ☎️ جهت مشاو,https://t.me/Boof_company/43,rules+ai-audit,structured_pubchem,02f0ab02dedc697f
Potassium Persulfate,Potassium Persulfate,7727-21-1,USHAGKDGDHPEEY-UHFFFAOYSA-L,24412,K2O8S2,false,,Boof_company,1,,25 کیلو,,,,🔰 محصول پتاسیم پرسولفات Potassium Persulfate (KPS) ‌ ➖️ نام علمی : Potassium Persulfate (پراکسودی‌ سولفات) ➖️ فرمول شیمیایی : K₂S₂O₈ ➖️ ماده پایه : اکسید کننده (نمک معدنی) ➖️ برند : آکیم (Akkim) ➖️ کشور : ترکیه (Turkey) ➖️ وزن بسته : 25 کیلو گرم ➖️ کیسه : 1000 کیلو گرم (40 کیسه) ➖️ قیمت : ☎️ جهت مشا,https://t.me/Boof_company/63,ai_corrected:gemini,ai_corrected,93dbae741314f0b3
Manganese Sulfate Monohydrate,Manganese Sulfate Monohydrate,10034-96-5,ISPYRSDWRDQNSW-UHFFFAOYSA-L,177577,H2MnO5S,false,,Boof_company,1,,25 کیلو,,,,🔰 محصول سولفات منگنز Manganese Sulfate Monohydrate ‌ ➖️ نام علمی : Manganese Sulfate Monohydrate (سولفات منگنز مونو هیدرات) ➖️ فرمول شیمیایی : MnSO₄·H₂O ➖️ ماده پایه : نمک معدنی ➖️ برند : گانس (GANSE) ➖️ کشور : چین (China) ➖️ وزن بسته : 25 کیلو گرم (کیسه) ➖️ قیمت : ☎️ جهت مشاوره خرید، استعلام قیمت و,https://t.me/Boof_company/64,ai_corrected:gemini,ai_corrected,a97b5c707a308b6a
titanium dioxide,titanium dioxide | titanium dioxide nanoparticles | Papanicolaou stain,13463-67-7,GWEVSGVZZGPLCZ-UHFFFAOYSA-N,26042,O2Ti,false,structured_pubchem,Ch_Chemical_leaders; IranChemicals; LabTel; jahaneshimicom,10,,,,,in_stock,#تبلیغات 🌟 تیتان R996 از برند LOMON – انتخاب اول در صنایع رنگ، پلاستیک، مستربچ و کامپاندینگ 🎯 تیتانیوم دی‌اکساید R996 با کیفیت بالا و پوشش روتایل، از پرفروش‌ترین گریدهای اکسید تیتانیوم است که در صنایع گوناگون به دلیل قدرت رنگ‌دهی و پخش‌پذیری فوق‌العاده مورد استفاده قرار می‌گیرد. 🔹 قدرت پوشش عالی 🔹 ب,https://t.me/Ch_Chemical_leaders/215,rules+ai-audit,ai_verified+structured_pubchem,c1ac9095b4a8b57f
Potassium iodide,Potassium iodide,7681-11-0,NLKNQRATVPKPDG-UHFFFAOYSA-M,4875,IK,false,,jahaneshimicom,1,,25 کیلو,,,,سلام یدید پتاسیم ٢۵ کیلو چند؟ 09195756102,https://t.me/jahaneshimicom/20,ai_corrected:gemini,ai_corrected,7e0a5436f2ec6081
