"# export_metadata: {""exported_at"": ""2026-08-23T03:30:25Z"", ""skill"": ""iran-chem-database@2.13.0 (clawhub: @orionshaowswmw/iran-chem-database)"", ""scope"": ""BEST-EFFORT dated index of organic molecules offered by verified IRANIAN suppliers (public Telegram channels + public supplier web catalogs), crawled 2026-08-23 from a foreign datacenter. NOT a claim of national completeness; coverage per source is in coverage_report.json."", ""rows"": 334, ""organic_rows"": 210, ""unknown_organic_rows"": 124, ""unique_molecules"": 334, ""ai_assisted_identities"": 194, ""channel_verification"": {""merckmillipore"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""labshop"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""minatajhiz"": {""verified"": true, ""country"": ""IR"", ""score"": 65, ""families"": [""domain"", ""language"", ""location""], ""level"": ""offline""}, ""ChemIranSanat"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""Maran_Tejarat_Eshen"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""jahaneshimicom"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""Ch_Chemical_leaders"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""Boof_company"": {""verified"": true, ""country"": ""IR"", ""score"": 60, ""families"": [""language"", ""location"", ""phone""], ""level"": ""offline""}, ""fanchem"": {""verified"": true, ""country"": ""IR"", ""score"": 85, ""families"": [""domain"", ""language"", ""phone""], ""level"": ""offline""}, ""IranChemicals"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}, ""chemgroup"": {""verified"": false, ""country"": null, ""score"": 45, ""families"": [""currency"", ""language"", ""location""], ""level"": ""offline""}, ""LabTel"": {""verified"": false, ""country"": null, ""score"": 25, ""families"": [""language"", ""location""], ""level"": ""offline""}}, ""notes"": ""identity_method: alias=curated dictionary, cas_only(+pubchem), structured_alias/structured_pubchem=skill shape extractor, ai_resolved+=cloud model (router.py) + PubChem check. organic_status=unknown rows are unresolved records, kept per skill mandate, never silently discarded.""}"
molecule,cas,pubchem_cid,inchi_key,formula,molecular_weight,canonical_smiles,common_name,iupac_name,organic_status,identity_method,kind,grade,brand,sku,purity_percent,pack_size,availability,price,n_suppliers,suppliers,n_source_records,source_urls,date_range,text_evidence
"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",50-81-7,54670067,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C6H8O6,176.12,,L-Ascorbic Acid,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,اهمیت ویتامین سی را باید از دریافت جایزه نوبل شیمی به خاطر کشف آن توسط Albert Szent فهمید. 🆔 @ChemIran1
(2R)-2-amino-3-sulfanylpropanoic acid,52-90-4,5862,XUJNEKJLAYXESH-REOHCLBHSA-N,C3H7NO2S,121.16,,L-(+)-Cysteine,(2R)-2-amino-3-sulfanylpropanoic acid,organic,ai_resolved+cas_only+pubchem,substance,research,,,,,,,1,telegram:labshop,1,,,"L-Cysteine , Merck 102735 @labshop"
"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",50-70-4,5780,FBPFZTCFMRRESA-JGWLITMVSA-N,C6H14O6,182.17,,Sorbitol,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:IranChemicals,1,,,🔴 #پادکست 🟩 سوربیتول 🔴 شیرین‌کننده مصنوعی پرمصرف با بیماری کبد مرتبط شناخته شد https://scitechdaily.com/scientists-link-popular-sugar-substitute-to-liver-disease/ تهیه شده توسط هوش مصنوعی NoteBookLm
"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",57-50-1,5988,CZMRCDWAGMRECN-UGDNZRGBSA-N,C12H22O11,342.3,,Sucrose,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام دکستروز آبدار ژیوانگ مورد نیاز است 09129614155
(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,,124886,RWSXRVCMGQZWBV-WDSKDSINSA-N,C10H17N3O6S,,,Glutathione,,organic,structured_pubchem,substance,research,Sigma-Aldrich,HR1359,,,in_stock,,1,telegram:ChemIranSanat,1,,,HR1359 Sigma-Aldrich Glutathione Pharmaceutical Secondary Standard; Certified Reference Material موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی 09386489001 🆔 @ChemIranAdmin 🆔 @ChemIran1
(2S)-2-aminobutanedioic acid,,5960,CKLJMWTZIZZHCS-REOHCLBHSA-N,C4H7NO4,,,L-Aspartic Acid,,organic,structured_pubchem,substance,research,Exir,014036,,value=100.0 unit=g normalised_value=100.0 normalised_unit=g raw=100g,in_stock,,1,telegram:ChemIranSanat,1,,,014036 Exir L-Aspartic acid 100g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📦 ارسال رایگان 📱 سفارش کالا 👇 📱 0938 648 9001 ☎️ 77 88 18 08 🆔 @ChemIranAdmin 🆔 @ChemIran1
"(2S,3R,4S,5R,6R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",9000-69-5,441476,AEMOLEFTQBMNLQ-DTEWXJGMSA-N,C6H10O7,194.14,,Pectin,"(2S,3R,4S,5R,6R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:jahaneshimicom,1,,,سلام دکتر فرجی هستم پکتین سیب موجود دارید؟ 09124144625
"(3-hydroxy-2,2,4-trimethylpentyl) 2-methylpropanoate",,6490,DAFHKNAQFPVRKR-UHFFFAOYSA-N,C12H24O3,,,Texanol,,organic,structured_pubchem,composite,industrial,,,,,,,1,telegram:Maran_Tejarat_Eshen,1,,,#Texanol : تگزانول به عنوان یکی از حلال‌های مؤثر در فرمولاسیون #رنگ‌ها و پوشش‌ها شناخته می‌شود. این ماده با کاهش کشش سطحی و افزایش قابلیت پخش رنگ‌ها بر روی سطوح، کیفیت پوشش نهایی را بهبود می‌بخشد. از آنجایی که تگزانول دارای خواص فیزیکی خاصی است، می‌تواند به عنوان یک حلال منعقدکننده در سیستم‌های پایه
"(8R,9S,13S,14S,16R,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",50-27-1,5756,PROQIPRRNZUXQM-ZXXIGWHRSA-N,C18H24O3,288.4,,Estriol,"(8R,9S,13S,14S,16R,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",organic,ai_resolved+cas_only+pubchem,substance,research,,,,,,,1,telegram:merckmillipore,1,,,تعداد محدودی colsemid گیبکو موجود میباشد 09121161187
(E)-3-phenylprop-2-enal,104-55-2,637511,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,C9H8O,132.16,,Cinnamaldehyde,(E)-3-phenylprop-2-enal,organic,ai_resolved+cas_only+pubchem,substance,industrial,,,,,,,1,telegram:ChemIranSanat,1,,,"022353 Exir 4,4'-Oxybis(benzoic acid) 25g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📱 سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1"
