"# export_metadata: {""exported_at"": ""2026-08-25T18:52:50Z"", ""skill"": ""iran-chem-database@2.19.0 (clawhub: @orionshaowswmw/iran-chem-database)"", ""rows"": 1041, ""previous_primary_rows"": 957, ""added_unique_cids_vs_v218_workspace_export"": 84, ""confirmed_organic"": 1041, ""unique_cids"": 1041, ""unique_inchikeys"": 1035, ""rows_with_cas"": 569, ""rows_with_canonical_smiles"": 1035, ""rows_with_evidence_url"": 977, ""composition"": {""verified_telegram_listing"": 358, ""verified_catalogue"": 480, ""verified_catalogue | verified_telegram_listing"": 2, ""verified_web_catalogue"": 200, ""(none)"": 1}, ""pipeline"": ""Merged previous skill seed (market-verified + expanded + parallel-AI + legacy) with 2026-08-25 live Iranian catalogue harvest (Telegram + WooCommerce + TamadKala sitemaps). CID-deduped. PubChem-confirmed. Organic gate. router.py --batch title normalization only — never invents."", ""scope"": ""BEST-EFFORT dated index of CONFIRMED-ORGANIC molecules appearing in configured public Iranian supplier catalogues. NOT a national census. Listing presence is not proof of current stock."", ""cid_dedupe"": ""enforced — zero same-CID rows"", ""provenance_hash"": ""sha256(evidence_text|evidence_url|CID) per row"", ""supersedes"": ""iran_organic_molecules_parallel_ai_2026-08-24.csv as CURRENT/PRIMARY; older seed files retained for audit""}"
molecule_name,common_name,name_variants,cas_number,pubchem_cid,inchi_key,molecular_formula,molecular_weight,canonical_smiles,organic_status,category,grade,supplier_name,supplier_platform,availability_status,evidence_url,evidence_text,identity_method,source_type,record_date,provenance_hash
"2,3-dihydroxybenzoic acid",Dihydroxybenzoic acid,"2,3-dihydroxybenzoic acid; Dihydroxybenzoic acid",,19,GLDQAMYCGOIJDV-UHFFFAOYSA-N,C7H6O4,154.12,C1=CC(=C(C(=C1)O)O)C(=O)O,confirmed_organic,,,telegram:minatajhiz,public Telegram (seller_research),product_page_listed_not_current_stock_verified,https://t.me/minatajhiz/1095,"2و4 -دی هیدروکسی بنزوئیک اسید 2,4-Dihydroxybenzoic acid کد محصول مرک 800738 واردات جدید مرک",structured_pubchem,verified_telegram_listing,2026-08-25,799730f8184485bf55cbc10b8a0bbea12ce860a8531ec19710a3d81d8c0a3611
4-aminobutanoic acid,Gamma-Aminobutyric Acid,,,119,BTCSSZJGUNDROE-UHFFFAOYSA-N,C4H9NO2,103.12,C(CC(=O)O)CN,confirmed_organic,pharmaceutical_or_api,,telegram:chemgroup,Iranian supplier Telegram catalogue,listing_evidence_crawled_2026-08-24,https://t.me/chemgroup/2991,,ai_normalised_listing+pubchem_confirmed,verified_telegram_listing,2017-03-28,6e35af51f5a0f03525721a19ca61725ed979269489d1ee624c880a69ad590226
4-hydroxybenzaldehyde,4-hydroxybenzaldehyde,,123-08-0,126,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C7H6O2,122.12,C1=CC(=CC=C1C=O)O,confirmed_organic,,,telegram:ChemIranSanat,public Telegram (seller_research),product_page_listed_not_current_stock_verified,https://t.me/ChemIranSanat/1735,"4-Hydroxybenzaldehyde | بنزالدهید و مشتقات مختلف آن از کمپانی اکروس 10522 Benzaldehyde 250ml 15603 3-Ethoxy-4-hydroxybenzaldehyde 100g 15044 4-Chlorobenzaldehyde 250g 18351 2,3-Dihydroxybenzaldehyde 5g 16277 4-Hydroxybenzaldehyde 50g 33488 4-Isopropylbenzaldehyde 100g 15458 4-Carboxybenzaldehyde 5g 17364 2,4-Dihydroxybenzaldehyde 25g 15699 4-Nitrobenzaldehyde 25g 10665 2-Bromobenzaldehyde 10ml 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی 📱 دریافت قیمت یا سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIra",router_batch+pubchem,verified_telegram_listing,2026-08-25,93cb1cd1ee28b1d5fb0efa034e0bb13c12e17acc7d4d77fc64264ca0924d53b9
"ethane-1,2-diol",Ethylene glycol,"ethane-1,2-diol; Ethylene glycol; ethylene glycol; PEG",107-21-1,174,LYCAIKOWRPUZTN-UHFFFAOYSA-N,C2H6O2,62.07,C(CO)O,confirmed_organic,organic_reagent,research,Chemical Iran; DigiShimi; Fardad Shimi; Isatis Shimi; TamadKala; Telegram: Boof_company; Telegram: Ch_Chemical_leaders; Telegram: IranChemicals; Telegram: Maran_Tejarat_Eshen; Mojallali Group; ShimiMan; IR Chem / Pishgaman; telegram:ATRmedShop,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online research/chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://digishimii.ir/Product/مونو-اتیلن-گلایکول/,Mono Ethylene Glycol (MEG) | Monoethylene Glycol (MEG) | ethylene glycol | مونو اتیلن گلایکول | مونو اتیلن گلایکول extra pure دکتر مجللی | ... | مونو اتیلن گلایکول usp دکتر مجللی | ... | مونو اتیلن گلایکول دکتر مجللی | مونو اتیلن گلایکول صنعتی | ... | مونو اتیلن گلیکول | مونو اتی,existing skill export | explicit_category_supplement | router_title_normalization,verified_catalogue,2026-08-23,abbe5545a566007c53b5cc5e50de8c7eb52d0121d9eeae32e0b56ae5ec561ac0
acetic acid,acetic acid glacial,acetic acid; acetic acid glacial,64-19-7,176,QTBSBXVTEAMEQO-UHFFFAOYSA-N,C2H4O2,60.05,CC(=O)O,confirmed_organic,organic_reagent,research,Fardad Shimi; TamadKala; Telegram: Ch_Chemical_leaders; Telegram: ChemIranSanat; Telegram: minatajhiz; DigiShimi; Isatis Shimi; Mojallali Group; ShimiMan; IR Chem / Pishgaman; telegram:ATRmedShop; telegram:chemgroup,Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://fardadshimi.com/product/6199108/,acetic acid | اسید استیک گلاسیال extra pure دکتر مجللی | اسید استیک گلاسیال laboratory دکتر مجللی | اسید استیک گلاسیال usp دکتر مجللی | اسید استیک گلاسیال امرتات شیمی گرید ph eur b | ... | اسید استیک گلاسیال دکتر مجللی | اسید استیک گلاسیال پارس شیمی,existing skill export | router_title_normalization,verified_catalogue,2026-08-23,532a7b9d2c7df98afaf40251a09f264f1bfc4a777d273b09ab86b7c2d5d0d3b3
acetamide,Acetamide,acetamide; Acetamide,60-35-5,178,DLFVBJFMPXGRIB-UHFFFAOYSA-N,C2H5NO,59.07,CC(=O)N,confirmed_organic,organic_reagent,,Fardad Shimi,Iranian online lab-chemical shop,product_page_listed_not_current_stock_verified,,استامید مرک MERCK,router_title_normalization,verified_catalogue,2026-08-23,5a7cfbd066b320d118a056172a815c494522140a5f1e4223c44561d1dd7729da
propan-2-one,Acetone,propan-2-one; Acetone; acetone,67-64-1,180,CSCPPACGZOOCGX-UHFFFAOYSA-N,C3H6O,58.08,CC(=O)C,confirmed_organic,organic_reagent,research,DigiShimi; Fardad Shimi; Isatis Shimi; TamadKala; Telegram: Boof_company; Telegram: ChemIranSanat; Telegram: minatajhiz; Mojallali Group; ShimiMan; IR Chem / Pishgaman; Exir; Temad,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,https://digishimii.ir/Product/%d8%a7%d8%b3%d8%aa%d9%88%d9%86-%d8%af%d8%a7%d8%b1%d9%88%db%8c%db%8c/,Acetone | propan-2-one | استون | استون 99 5 p a پارس شیمی | استون 99 u s p پارس شیمی | استون دارویی | استون دکتر مجللی | استون صنعتی | استون پارس شیمی,existing skill export | router_title_normalization,verified_catalogue,2026-08-23,c349c7e3013fc6a24b10f50dc73f8d7a13c61b6126097bbc7449f13fa4eb7775
7H-purin-6-amine,7H-purin-6-amine,,73-24-5,190,GFFGJBXGBJISGV-UHFFFAOYSA-N,C5H5N5,135.13,C1=NC2=NC=NC(=C2N1)N,confirmed_organic,,,telegram:ATRmedShop,public Telegram (seller_research),product_page_listed_not_current_stock_verified,https://t.me/ATRmedShop/818,Adenine | آدنین آدنین یک نوکلئوباز پورین و یکی از چهار باز موجود در ساختمان DNA و RNA است. سه مورد دیگر گوانین، سیتوزین و تیمین هستند. همچنین جزء کوفاکتورها (NAD، FAD) و مولکول‌های سیگنالینگ (cAMP) است. این ماده (نماد A یا Ade)در هر بافت گیاهی و جانوری یافت می‌شود و جزء کوآنزیم های متعدد است. مشتقات این ماده نقش‌های گوناگونی در بیوشیمی از جمله... برای مشاهده ادامه مطلب، مشاهده قیمت آنلاین و خرید اینترنتی آدنین به لینک زیر مراجعه فرمایید: https://lnkd.in/d2AubY7U #آدنین #دنین_و_تیمین #NADH_مخفف_چ,router_batch+pubchem,verified_telegram_listing,2026-08-25,074e8956e5a28fa82614869b5ad426202ed1fdfdb5ede0c120e9153076325450
hexanedioic acid,Adipic acid,hexanedioic acid; Adipic acid,124-04-9,196,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C6H10O4,146.14,C(CCC(=O)O)CC(=O)O,confirmed_organic,organic_reagent,research,Fardad Shimi; TamadKala,Iranian online lab-chemical shop | Iranian online wholesale/lab shop,product_page_listed_not_current_stock_verified,https://tamadkala.com/product/154899/%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A2%D8%AF%DB%8C%D9%BE%DB%8C%DA%A9-%D8%A7%D9%85%D8%B1%D8%AA%D8%A7%D8%AA-%D8%B4%DB%8C%D9%85%DB%8C-%DA%AF%D8%B1%DB%8C%D8%AF-extra-pure,آدیپیک اسید مرک MERCK | اسید آدیپیک امرتات شیمی گرید extra pure,router_title_normalization,verified_catalogue,2026-08-23,772248821f34bd917ed5fa73404de713a816e7406bf2ed40836601687d9c889b
"(2,5-dioxoimidazolidin-4-yl)urea",Allantoin,"(2,5-dioxoimidazolidin-4-yl)urea; Allantoin",97-59-6,204,POJWUDADGALRAB-UHFFFAOYSA-N,C4H6N4O3,158.12,C1(C(=O)NC(=O)N1)NC(=O)N,confirmed_organic,cosmetic_raw_material,,BehChin Chemi Pharmed; Mojallali Group; IR Chem / Pishgaman,Iranian supplier API/intermediate catalogue,supplier_catalogue_listed_not_current_stock_verified,https://www.behchinchemi.ir/en/our-products/cosmetic-materials,Allantoin,supplier_table,verified_catalogue,2026-08-23,cb6f3cc531c236cef08ddc6745036dd02401e8b0bc2c5c7ad22de1085245efb1
