"# export_metadata: {""exported_at"": ""2026-08-27T12:27:57Z"", ""skill"": ""iran-chem-database@2.21.1 (clawhub: @orionshaowswmw/iran-chem-database)"", ""workspace_router_models"": ""9 providers / 767 models (tools/router.py fleet)"", ""rows"": 1399, ""confirmed_organic"": 1399, ""organic_gate"": ""carried from PubChem/RDKit-verified seed for seed-sourced rows; structure/formula first for all live rows (organic_status=true)"", ""unique_cids"": 1352, ""inchikey_merged_alt_cids"": 10, ""rows_flagged_cas_cid_conflict"": 23, ""cas_cid_conflict_meaning"": ""row CAS resolves in PubChem to a CID set that does not include the row CID — inherited from supplier catalogue data; flagged for human review, not silently edited"", ""unique_inchikeys"": 1352, ""rows_with_cas"": 705, ""rows_with_canonical_smiles"": 1029, ""rows_with_evidence_url"": 1315, ""input_rows_by_source"": {""seed_2026-08-25"": 1041, ""seed_2026-08-24"": 1068, ""live_web_catalogue"": 114, ""live_telegram_listing"": 349, ""ai_model_fleet"": 615, ""wayback_archived_pages"": 0}, ""rejected_rows"": 225, ""model_fleet_normalization"": {""pass"": {""titles"": 2400, ""pubchem_confirmed_names"": 1825, ""confirmed_unique_cids"": 505, ""multi_model_agreement"": 403, ""models"": [""gemini"", ""mistral"", ""groq"", ""llm7"", ""router""]}, ""pass_p2"": {""titles"": 3200, ""pubchem_confirmed_names"": 110, ""confirmed_unique_cids"": 53, ""multi_model_agreement"": 23, ""models"": [""gemini"", ""mistral"", ""groq"", ""llm7"", ""router""]}, ""pass_p3"": {""titles"": 2500, ""pubchem_confirmed_names"": 130, ""confirmed_unique_cids"": 57, ""multi_model_agreement"": 17, ""models"": [""gemini"", ""mistral"", ""groq"", ""llm7"", ""router""]}}, ""model_fleet_rule"": ""model answers accepted ONLY when PubChem confirms the identity; disagreement -> left unresolved, never guessed"", ""composition_top"": {""seed_2026-08-24 + seed_2026-08-25"": 496, ""ai_model_fleet"": 197, ""seed_2026-08-25"": 136, ""ai_model_fleet + seed_2026-08-24 + seed_2026-08-25"": 116, ""seed_2026-08-24"": 92, ""ai_model_fleet + live_telegram_listing + seed_2026-08-24 + seed_2026-08-25"": 87, ""live_telegram_listing + seed_2026-08-24 + seed_2026-08-25"": 81, ""ai_model_fleet + live_web_catalogue"": 35}, ""pipeline"": ""seed baseline + 2026-08-27 LIVE crawl (Telegram full-history mirror, public WooCommerce Store API, WP product sitemaps, Wayback CDX enumeration for geo-blocked .ir catalogues) -> skill parsers -> grade policy -> ChemicalValidator (RDKit/PubChem/CAS checksum) -> organic gate (structure first) -> model-fleet normalization (5 providers, PubChem-confirmed only) -> CID dedupe -> provenance_hash"", ""scope"": ""BEST-EFFORT dated index of CONFIRMED-ORGANIC molecules appearing in public Iranian supplier catalogues/channels reachable from this sandbox. NOT a national census; NOT complete; product page presence is not proof of stock. Coverage of the configured crawl is reported in coverage_report.json."", ""cid_dedupe"": ""enforced — zero same-CID rows"", ""provenance_hash"": ""sha256(evidence_text|evidence_url|CID) per row"", ""supersedes"": ""skill seed iran_organic_molecules_catalogue_verified_2026-08-25.csv""}"
molecule_name,common_name,name_variants,cas_number,pubchem_cid,alt_cids,cas_cid_conflict,inchi_key,molecular_formula,molecular_weight,canonical_smiles,organic_status,category,category_source,grade,supplier_name,supplier_platform,availability_status,evidence_url,evidence_text,identity_method,source_type,record_date,provenance_hash
(-)-Codeine phosphate,Codeine Phosphate,"(-)-Codeine phosphate; Codeine Phosphate; (4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol;phosphoric acid",,5359227,,,WUXLCJZUUHIXFY-FFHNEAJVSA-N,C18H24NO7P,397.4,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O,confirmed_organic,pharmaceutical_or_api,,,Temad,web_catalogue,listing_evidence_crawled_2026-08-23,https://www.temad.com/product/ciprofloxacin-hcl/,Codeine Phosphate,pubchem_direct,seed_2026-08-24 + seed_2026-08-25,2026-08-23,2aa785d9b0c5d69216cdbb622d5d94288c7f46150927edca5ac853e3670e9a67
(-)-Noroxymorphone,Noroxymorphone,"(-)-Noroxymorphone; Noroxymorphone; (4R,4aS,7aR,12bS)-4a,9-dihydroxy-1,2,3,4,5,6,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",,5497189,,,HLMSIZPQBSYUNL-IPOQPSJVSA-N,C16H17NO4,287.31,C1C[C@]2([C@H]3CC4=C5[C@@]2(CCN3)[C@H](C1=O)OC5=C(C=C4)O)O,confirmed_organic,pharmaceutical_or_api,,,Temad,web_catalogue,listing_evidence_crawled_2026-08-23,https://www.temad.com/product/noroxymorphone/,Noroxymorphone,pubchem_direct,seed_2026-08-24 + seed_2026-08-25,2026-08-23,87b03e1c341c1c77ad96b03ffb4a5788d06b16ed9be18559ebaf05772479d4b7
(-)-Zingiberene,zingiberene,,,92776,,,KKOXKGNSUHTUBV-LSDHHAIUSA-N,C15H24,204.35,CC1=CC[C@@H](C=C1)[C@@H](C)CCC=C(C)C,confirmed_organic,fragrance_or_aroma,,,ChemIranSanat + t.me/ChemIranSanat,ai_normalized|telegram,listing_evidence_crawled_2026-08-23,https://t.me/ChemIranSanat/973,"شیمی زنجبیل ترکیب zingibirene یک نوع روغن و عامل اصلی بوی زنجبیل است. اکثر مواد موجود در زنجبیل برای سلامتی انسان بسیار سودمند هستند. 🆔 @ChemIran1 || شیمی زنجبیل
ترکیب zingibirene یک نوع روغن و عامل اصلی بوی زنجبیل است.
اکثر مواد موجود در زنجبیل برای سلامتی انسان بسیار سودمند هستند.

 🆔 @ChemIran1",ai_resolved+pubchem,ai_model_fleet + seed_2026-08-24 + seed_2026-08-25,2026-08-23,b0c07bbacfdcdbdbf3a92e400962b17975e9ef6965ccfeac14e6bfd749076d94
"(1'R,2R,3S,4'S,6S,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-2-[(2S)-butan-2-yl]-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one;(1'R,2R,3S,4'S,6S,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethyl-2-propan-2-ylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",,,,9920327,,,IBSREHMXUMOFBB-JFUDTMANSA-N,C95H142O28,1732.1,,confirmed_organic,organic_reagent,derived:supplier_platform,,Shimi Merck,ai_normalized,,https://shimimerck.ir/buy-abamectin-sigma-aldrich.html,buy abamectin sigma aldrich,model_fleet+pubchem,ai_model_fleet,2026-08-27,a98197cea9c5fc04f2e2b7c211541566be260916c3557d7bb4fd381d697eb84e
"(1,1'-Biphenyl)-4,4'-dicarboxylic acid","4,4′-Biphenyldicarboxylic acid",,,13084,,,NEQFBGHQPUXOFH-UHFFFAOYSA-N,C14H10O4,242.23,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,confirmed_organic,organic_reagent,,,ChemIranSanat + t.me/ChemIranSanat,ai_normalized|telegram,listing_evidence_crawled_2026-08-23,https://t.me/ChemIranSanat/1795,"091522 Fluorochem 4,4′-Biphenyldicarboxylic acid 25g 🔜 موجود و آماده تحویل ✅ شیمیران صنعت فقط اصلی ♾ موجودی و تنوع بی نظیر از برندهای معتبر 📱 سفارش کالا 👇 🆔 @ChemIranAdmin 🆔 @ChemIran1 || 091522 Fluorochem
4,4′-Biphenyldicarboxylic acid
25g

 🔜 موجود و آماده تحویل
 ✅ شیمیران صنعت فقط اصلی
 ♾ موجودی ",ai_resolved+pubchem,ai_model_fleet + seed_2026-08-24 + seed_2026-08-25,2026-08-23,331a10eb8293abdee258335b1028bcab8df174b72a5c528403624bd13b85ffa8
(1-hydroxy-1-phosphonoethyl)phosphonic acid,hedp,(1-hydroxy-1-phosphonoethyl)phosphonic acid; hedp,,3305,,,DBVJJBKOTRCVKF-UHFFFAOYSA-N,C2H8O7P2,206.03,CC(O)(P(=O)(O)O)P(=O)(O)O,confirmed_organic,organic_reagent,derived:supplier_platform,,IR Chem / Pishgaman,Iranian WooCommerce catalogue,product_page_listed_not_current_stock_verified,https://irchem.ir/buy-ethidronic-acid/,اتیدرونیک اسید hedp,structured_pubchem,seed_2026-08-25,2026-08-25,aa4ce9b2e47c9efb9d017a352018850ed485b4b057ebf0d7a57ab3ff5653bdad
"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",Curcumin,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione; Curcumin",458-37-7,969516,,,VFLDPWHFBUODDF-FCXRPNKRSA-N,C21H20O6,368.4,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,confirmed_organic,secondary_metabolite_or_natural_product,,,t.me/ATRmedShop + t.me/IranChemicals + telegram:IranChemicals; telegram:ATRmedShop,Iranian supplier Telegram catalogue|ai_normalized,listing_evidence_crawled_2026-08-24,https://t.me/IranChemicals/21805,Curcumin | خرید کورکومین از کورکوما لونگا| قیمت کورکومین از کورکوما لونگا ‌‏⁧ ‌‌‏‌محصولات سیگما اصل را از ما بخواهید. 👇 واردات و فروش مواد شیمیایی سیگما 👇 ‌ ‌ ‌ ☎️ تلفن: ۰۲۱۶۶۳۶۱۵۴۳-۶۶۳۷۹۰۲۶-۰۲۱ ‌ 📱 موبایل: 09120549893 🌐 لینک محصول : https://atrmed.com/product/curcumin/?v=e067b3c6b979 #آثل_طب #مواد_,ai_normalised_listing+pubchem_confirmed,ai_model_fleet + seed_2026-08-24 + seed_2026-08-25,2018-01-19,0bbaa179a3f9dcd280d203e3b7f61e1d0861aadd0e47bc64c47cc84df425701b
"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",gibberellic acid,"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid; gibberellic acid",50-15-7,6466,,,IXORZMNAPKEEDV-OBDJNFEBSA-N,C19H22O6,346.4,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,confirmed_organic,organic_reagent,,Shimi Merck,Shimi Merck + TamadKala + https://shimimerck.ir/gibberellic-acid.html,Iranian online wholesale/lab shop|ai_normalized|live_supplier_catalogue,product_page_listed_not_current_stock_verified,https://shimimerck.ir/gibberellic-acid.html,جیبرلیک اسید برند dyc چین | ... || gibberellic acid,router_title_normalization,ai_model_fleet + live_web_catalogue + seed_2026-08-24 + seed_2026-08-25,2026-08-23,17da33c7a0104038e506160f8c69e0252e26f69e37b2b8b2621219248c4b8b9b
"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol","(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol","(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",2216-51-5,16666,,,NOOLISFMXDJSKH-KXUCPTDWSA-N,C10H20O,156.26,CC1CCC(C(C1)O)C(C)C,confirmed_organic,organic_reagent,derived:supplier_platform,,Mojallali Group,Iranian WooCommerce catalogue,product_page_listed_not_current_stock_verified,https://drm-chem.com/en/product/menthol-en/,(-)-Menthol,cas_pubchem,seed_2026-08-25,2026-08-25,a38c52d50e6226d18168de4853fddab3c655f2f457a482913bb123f1ce2aaec8
"(1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid",,,,64971,,,QGJZLNKBHJESQX-FZFNOLFKSA-N,C30H48O3,456.7,,confirmed_organic,organic_reagent,derived:supplier_platform,,Shimi Merck,ai_normalized,,https://shimimerck.ir/betulinic-of-sigma-aldrich-acid.html,betulinic of sigma aldrich acid,model_fleet+pubchem,ai_model_fleet,2026-08-27,ca66a2158a01ad76d5cd75dc3a0b5d15c419f24676b51b93a8883951f1af3230
