"# export_metadata: {""exported_at"":""2026-08-23T12:30:45+00:00"",""skill"":""iran-chem-database@2.14.1"",""scope"":""Expanded BEST-EFFORT index of distinct confirmed-organic molecules appearing in public Iranian supplier/retailer catalogues and public supplier API/intermediate lists. Not a complete national market census and not a current-stock guarantee."",""rows"":480,""previous_verified_rows"":207,""new_source_records_before_dedup"":1616,""new_source_records_after_chemistry_filter"":948,""source_sets"":{""TamadKala"":""3484 product URLs from product sitemaps; title normalization via router; PubChem validation"",""Fardad Shimi"":""569 product pages from paginated shop listings; title normalization via router"",""DigiShimi"":""268 public WooCommerce products"",""Isatis Shimi"":""188 public WooCommerce products"",""BehChin Chemi Pharmed"":""public human/veterinary API, intermediate, excipient, cosmetic, food-additive lists"",""Pishgaman Shimi (IR Chem)"":""public pharmaceutical/cosmetic/raw-material category product pages"",""ShimiMan"":""public product sitemap titles"",""existing_skill_catalogue"":""207 rows from live-verified Iranian Telegram channels, retained and supplier-labeled"",""Rooz Darou"":""114 public Iranian pharmaceutical product pages; title-mapped and PubChem validated""},""router_assistance"":""router.py was used for Persian/English product-title normalization and category extraction; every admitted new record was independently structure/formula checked via PubChem."",""third_party_relay"":""r.jina.ai was used to retrieve public TamadKala/Fardad Shimi sitemaps or listing pages when direct requests timed out; original direct supplier URLs are retained, and no private data was sent."",""discovered_but_not_admitted"":""Arzan Azma and E-Az were identified as Iranian online lab shops but were not added without a reliable structured product export; their generic/category pages are not molecule-level evidence."",""supplier_column"":""supplier_name is the distinct supplier/retailer field; supplier_platform and supplier_country_evidence preserve context."",""limitations"":""Foreign brands listed by Iranian retailers are product metadata, not evidence that the supplier is foreign. Product page presence is not proof of stock. Mixtures, polymers, equipment, inorganic and unresolved records were excluded."",""filter_stats"":{""not_confirmed_organic"":668},""additional_expansion"":""Rooz Darou pharmaceutical catalogue added; duplicate actives merged and supplier provenance appended.""}"
molecule_name,common_name,cas_number,pubchem_cid,inchi_key,molecular_formula,molecular_weight,canonical_smiles,organic_status,category,research_grade_candidate,research_grade_signal,supplier_name,supplier_platform,supplier_country_evidence,catalogue_presence,availability_status,source_product_titles,source_urls,identity_methods,evidence_record_count
"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",gibberellic acid,50-15-7,6466,IXORZMNAPKEEDV-OBDJNFEBSA-N,C19H22O6,346.4,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,جیبرلیک اسید برند dyc چین | ...,,router_title_normalization,1
"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",Vitamin D2,50-14-6,5280793,MECHNRXZTMCUDQ-RKHKHRCZSA-N,C28H44O,396.6,,confirmed_organic,pharmaceutical_or_api,yes,Sigma/research,TamadKala,Iranian online research/chemical shop | Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ویتامین D2 سیگما | ویتامین d2 سیگما,https://tamadkala.com/product/34731/%D9%88%DB%8C%D8%AA%D8%A7%D9%85%DB%8C%D9%86-d2-%D8%B3%DB%8C%DA%AF%D9%85%D8%A7,explicit_category_supplement | router_title_normalization,2
"(2,2-dimethyl-1,3-dihydroperimidin-6-yl)-(4-phenyldiazenylnaphthalen-1-yl)diazene",Sudan Black B,4197-25-5,61336,YCUVUDODLRLVIC-UHFFFAOYSA-N,C29H24N6,456.5,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,معرف سودان بلک b دکتر مجللی,https://tamadkala.com/product/173734/%D9%85%D8%B9%D8%B1%D9%81-%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D8%A8%D9%84%DA%A9-b-%D8%AF%DA%A9%D8%AA%D8%B1-%D9%85%D8%AC%D9%84%D9%84%DB%8C,router_title_normalization,1
"(2,5-dioxoimidazolidin-4-yl)urea",Allantoin,,204,POJWUDADGALRAB-UHFFFAOYSA-N,C4H6N4O3,158.12,,confirmed_organic,cosmetic_raw_material,not_stated,,BehChin Chemi Pharmed,Iranian supplier API/intermediate catalogue,site states Iran-based supplier,public catalogue/product-page evidence; current stock not independently verified,supplier_catalogue_listed_not_current_stock_verified,Allantoin,https://www.behchinchemi.ir/en/our-products/cosmetic-materials,supplier_table,1
(2-hydroxy-4-methoxyphenyl)-phenylmethanone,Benzophenone-3,,4632,DXGLGDHPHMLXJC-UHFFFAOYSA-N,C14H12O3,228.24,,confirmed_organic,cosmetic_raw_material,not_stated,,BehChin Chemi Pharmed,Iranian supplier API/intermediate catalogue,site states Iran-based supplier,public catalogue/product-page evidence; current stock not independently verified,supplier_catalogue_listed_not_current_stock_verified,Benzophenone-3,https://www.behchinchemi.ir/en/our-products/cosmetic-materials,supplier_table,1
"(2E,4E)-hexa-2,4-dienoic acid",Sorbic acid,110-44-1,643460,WSWCOQWTEOXDQX-MQQKCMAXSA-N,C6H8O2,112.13,,confirmed_organic,organic_reagent,not_stated,True,Fardad Shimi,Iranian online lab-chemical shop,site shows Iranian shop and nationwide delivery,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,اسید سوربیک MERCK,https://fardadshimi.com/product/6195767/,router_title_normalization,1
"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",Ascorbic acid,50-81-7,54670067,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C6H8O6,176.12,,confirmed_organic,secondary_metabolite_or_natural_product,yes,Dr. Mojallali | False | extra pure | food-grade | industrial,DigiShimi | Fardad Shimi | Isatis Shimi | TamadKala | Telegram: ChemIranSanat,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,site shows Iranian online shop | site shows Iranian online shops | site shows Iranian shop and nationwide delivery | skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one | Ascorbic Acid (Vitamin C) | آسکوربیک اسید ۹۹ گرید صنعتی | ... | اسید آسکوربیک | اسید آسکوربیک extra pure دکتر مجللی | ... | اسید آسکوربیک ۱ کیلویی دکتر مجللی | ... | اسید اسکوربیک | اسید اسکوربیک خوراکی | فروش اسید اسکوربیک | ...",https://digishimii.ir/Product/%d8%a7%d8%b3%db%8c%d8%af-%d8%a2%d8%b3%da%a9%d9%88%d8%b1%d8%a8%db%8c%da%a9/ | https://isatisshimi.com/en/product/ascorbic-acid-vitamin-c/ | https://tamadkala.com/product/177571/%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A7%D8%B3%DA%A9%D9%88%D8%B1%D8%A8%DB%8C%DA%A9 | https://tamadkala.com/product/74869/%D8%A7%D8%B3%DB%8C%D8%AF-%D8%A7%D8%B3%DA%A9%D9%88%D8%B1%D8%A8%DB%8C%DA%A9-%D8%AE%D9%88%D8%B1%D8%A7%DA%A9%DB%8C,existing skill export | router_title_normalization,10
(2R)-2-amino-3-sulfanylpropanoic acid,L-Cysteine,52-90-4,5862,XUJNEKJLAYXESH-REOHCLBHSA-N,C3H7NO2S,121.16,,confirmed_organic,organic_reagent,not_stated,,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,ال سیستئین,https://tamadkala.com/product/149104/%D8%A7%D9%84-%D8%B3%DB%8C%D8%B3%D8%AA%D8%A6%DB%8C%D9%86,router_title_normalization,1
"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",Sorbitol,50-70-4,5780,FBPFZTCFMRRESA-JGWLITMVSA-N,C6H14O6,182.17,,confirmed_organic,organic_reagent,not_stated,True | industrial,DigiShimi | Fardad Shimi | TamadKala | Telegram: IranChemicals,Iranian online chemical shops | Iranian online lab-chemical shop | Iranian online wholesale/lab shop | Iranian supplier Telegram catalogue,site shows Iranian online shop | site shows Iranian online shops | site shows Iranian shop and nationwide delivery | skill live country-gate,public catalogue/product-page evidence; current stock not independently verified,listed_not_current_stock_verified | product_page_listed_not_current_stock_verified,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol | سوربیتول | سوربیتول MERCK",https://digishimii.ir/Product/%d8%b3%d9%88%d8%b1%d8%a8%db%8c%d8%aa%d9%88%d9%84/ | https://fardadshimi.com/product/6197578/ | https://tamadkala.com/product/76005/%D8%B3%D9%88%D8%B1%D8%A8%DB%8C%D8%AA%D9%88%D9%84,existing skill export | router_title_normalization,4
"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",Lactose,63-42-3,6134,GUBGYTABKSRVRQ-DCSYEGIMSA-N,C12H22O11,342.30,,confirmed_organic,organic_reagent,yes,extra pure,TamadKala,Iranian online wholesale/lab shop,site shows Iranian online shop,public catalogue/product-page evidence; current stock not independently verified,product_page_listed_not_current_stock_verified,لاکتوز extra pure نوترون,https://tamadkala.com/product/99056/%D9%84%D8%A7%DA%A9%D8%AA%D9%88%D8%B2-extra-pure-%D9%86%D9%88%D8%AA%D8%B1%D9%88%D9%86,router_title_normalization,1
