# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
单据头: FBillHead
实体主键: FID
单据编号: FBillNo
单据状态: FDOCUMENTSTATUS
创建人: FCREATORID
审核人: FAPPROVERID
创建日期: FCREATEDATE
结算组织: FSETTLEORGID
审核日期: FAPPROVEDATE
采购组织: FPURCHASEORGID
应付金额: FPAYAMOUNTFOR_H
币别: FCURRENCYID
申请日期: FDATE
修改日期: FMODIFYDATE
修改人: FMODIFIERID
单据类型: FBILLTYPEID
采购员: FPURCHASERID
采购部门: FPURCHASEDEPTID
申请付款金额: FAPPLYAMOUNTFOR_H
会计核算体系: FACCOUNTSYSTEM
作废人: FCANCELLERID
作废状态: FCANCELSTATUS
作废日期: FCANCELDATE
往来单位类型: FCONTACTUNITTYPE
往来单位: FCONTACTUNIT
收款单位类型: FRECTUNITTYPE
收款单位: FRECTUNIT
业务类型: FBUSINESSTYPE
部门: FDEPARTMENT
付款组织: FPAYORGID
销售组织: FSALEORGID
销售部门: FSALEDEPTID
销售员: FSALEERID
本位币: FMAINBOOKID
汇率: FEXCHANGERATE
汇率类型: FEXCHANGETYPE
来源系统: FSOURCESYSTEM
是否信贷业务: FIsCredit
银行账号: FBankActID
申请组织: FAPPLYORGID
扫描点: FScanPoint
关闭状态: FCLOSESTATUS
关闭人: FCLOSERID
关闭日期: FCLOSEDATE
结算币别: FSETTLECUR
实际申请金额: FREALAPPLYAMOUNTFOR
结算汇率: FSETTLERATE
申请付款金额本位币: FAPPLYAMOUNT
采购组: FPURCHASERGROUPID
销售组: FSALEGROUPID
是否其他预付: FIsBorrow
是否下推携带汇率到结算汇率: FISCARRYRATE
多收款人: FMoreReceive
预设基础资料字段1: FPRESETBASE1
预设基础资料字段2: FPRESETBASE2
预设辅助资料字段1: FPRESETASSISTANT1
预设辅助资料字段2: FPRESETASSISTANT2
预设文本字段1: FPRESETTEXT1
预设文本字段2: FPRESETTEXT2
实报实付: FRealPay
项目: F_TJKT_Base_83g_re5_tzk
供应商: F_TJKT_Base_qtr
开户银行: F_TJKT_Text_qtr
银行账号: F_TJKT_Text_83g
备注: F_TJKT_Text_qtr1
付款申请单明细: FPAYAPPLYENTRY
实体主键: FEntryID
结算方式: FSETTLETYPEID
应付金额: FPAYAMOUNTFOR
对方银行账号: FEACHBANKACCOUNT
申请付款金额: FAPPLYAMOUNTFOR
付款用途: FPAYPURPOSEID
收款用途: FARPURPOSEID
源单类型: FSOURCETYPE
源单编号: FSRCBILLNO
到期日: FENDDATE
期望付款日期: FEXPECTPAYDATE
对方账户名称: FEACHCCOUNTNAME
对方开户行: FEACHBANKNAME
备注（作废）: FCOMMENT
源单行内码: FSRCROWID
付退款关联金额: FRELATEPAYAMOUNT
作废—收款退款关联金额: FRELATEREFUNDAMOUNT
费用项目: FCOSTID
申请还本金额: FApplyPclAmount
申请付利息金额: FApplyInstAmount
关联付利息金额: FWritePclAmount
备注: FDescription
物料编码: FMATERIALID
物料名称: FMATERIALNAME
订单号: FPURCHASEORDERNO
订单行号: FMATERIALSEQ
订单明细内码: FORDERENTRYID
含税单价: FPRICE
数量: FQTY
计价单位: FPRICEUNITID
付(退)款关联数量: FRELATEPAYQTY
未付款金额: FUnpaidAmount
SwiftCode: FSwiftCode
税额: FTAXAMOUNT
银行网点: FBankDetail
费用承担部门: FEXPENSEDEPTID
项目: F_TJKT_Base_qtr1
税前工资: F_TJKT_Amount_qtr
个人社保: F_TJKT_Amount_83g
个人公积金: F_TJKT_Amount_re5
个人所得税: F_TJKT_Amount_apv
税后工资: F_TJKT_Amount_tzk
企业部分: F_TJKT_Amount_fg2
个人部分: F_TJKT_Amount_yrr
合计金额: F_TJKT_Amount_h1g
多收款人账号: FPAYAPPLYMORERECENTRY
结算方式: FSETTLETYPEID_M
申请付款金额: FAPPLYAMOUNTFOR_M
银行网点: FBANKDETAIL_M
对方开户行: FEACHBANKNAME_M
对方银行账号: FEACHBANKACCOUNT_M
对方账户名称: FEACHCCOUNTNAME_M
备注: FDESCRIPTION_M
SwiftCode: FSWIFTCODE_M
收款单位: FRECTUNIT_M
关联关系表: FPAYAPPLYENTRY_Link
实体主键: FLinkId
业务流程图: FPAYAPPLYENTRY_Link_FFlowId
推进路线: FPAYAPPLYENTRY_Link_FFlowLineId
转换规则: FPAYAPPLYENTRY_Link_FRuleId
源单表内码: FPAYAPPLYENTRY_Link_FSTableId
源单表: FPAYAPPLYENTRY_Link_FSTableName
源单内码: FPAYAPPLYENTRY_Link_FSBillId
源单分录内码: FPAYAPPLYENTRY_Link_FSId
原始携带量: FPAYAPPLYENTRY_Link_FAPPLYAMOUNTFOROld
修改携带量: FPAYAPPLYENTRY_Link_FAPPLYAMOUNTFOR
