# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
单据头: FBillHead
实体主键: FID
单据编号: FBillNo
单据状态: FDOCUMENTSTATUS
创建人: FCreaterId
创建日期: FCreateDate
结算组织: FSETTLEORGID
审核日期: FApproveDate
采购组织: FPURCHASEORGID
汇率类型: FEXCHANGETYPE
本位币: FMAINBOOKCURRID
应退金额本位币: FREFUNDTOTALAMOUNT
业务日期: FDATE
币别: FCURRENCYID
修改日期: FModifyDate
修改人: FModifierId
汇率: FEXCHANGERATE
核销状态: FWRITTENOFFSTATUS
单据类型: FBillTypeID
表头-应退金额: FREFUNDTOTALAMOUNTFOR
采购员: FPurchaserId
采购组: FPurchaserGroupId
采购部门: FPurchaseDeptId
审核人: FAPPROVERID
表头-实退金额: FREALREFUNDAMOUNTFOR
实退金额本位币: FREALREFUNDAMOUNT
会计核算体系: FACCOUNTSYSTEM
作废人: FCancellerId
作废状态: FCancelStatus
作废日期: FCancelDate
往来单位类型: FCONTACTUNITTYPE
往来单位: FCONTACTUNIT
付款单位类型: FPAYUNITTYPE
付款单位: FPAYUNIT
来源系统: FSOURCESYSTEM
业务类型: FBUSINESSTYPE
是否期初单据: FISINIT
部门: FDepartment
付款组织: FPAYORGID
是否相同组织: FISSAMEORG
结算币别: FSETTLECUR
结算汇率: FSETTLERATE
退款金额: FREFUNDAMOUNTFOR_H
表头-退款金额本位币: FREFUNDAMOUNT_H
是否转销: FIsWriteOff
核销方式: FMatchMethodID
扫描点: FScanPoint
是否来源于整单退款: FISFROMALLREFUND
备注: FREMARK
结算本位币: FSETTLEMAINBOOKID
结算汇率类型: FSETTLEEXCHANGETYPE
第三方单据编号: FTHIRDBILLNO
流水号: FWBSETTLENO
管易财务流水内码: FGYACCOUNTWATERID
是否下推携带汇率到结算汇率: FISCARRYRATE
管易对应店铺: FGYSHOPNAME
管易对应客户: FGYCUSTOMERID
预设基础资料字段1: FPRESETBASE1
预设基础资料字段2: FPRESETBASE2
预设辅助资料字段1: FPRESETASSISTANT1
预设辅助资料字段2: FPRESETASSISTANT2
预设文本字段1: FPRESETTEXT1
预设文本字段2: FPRESETTEXT2
是否同一核算组织: FVirIsSameAcctOrg
来源为负数报销单: FISFROMNEGTIV
对应的付款申请单是否有上游单据: FISFROMAPPILREFUND
退款释放到采购订单、应付单、其他应付单: FISREAPPLYPAY
退款单明细: FREFUNDBILLENTRY
实体主键: FEntryID
结算方式: FSETTLETYPEID
表体-应退金额: FREFUNDAMOUNTFOR
备注: FNOTE
表体明细-核销状态: FWRITTENOFFSTATUS_D
表体明细-已核销金额: FWRITTENOFFAMOUNTFOR_D
对方账户名称: FOPPOSITECCOUNTNAME
对方银行账号: FOPPOSITEBANKACCOUNT
应退金额本位币: FREFUNDAMOUNT
手续费: FHANDLINGCHARGEFOR
表体-实退金额: FREALREFUNDAMOUNTFOR_D
手续费本位币: FHANDLINGCHARGE
实退金额本位币: FREALREFUNDAMOUNT_D
我方银行账号: FACCOUNTID
我方账户名称: FACCOUNTNAME
我方开户行: FBankID
结算号: FSETTLENO
勾对: FBLEND
对方开户行: FOPPOSITEBANKNAME
原付款用途: FPURPOSEID
内部账号: FINNERACCOUNTID
内部账户名称: FINNERACCOUNTNAME
费用项目: FCOSTID
现金账号: FCashAccount
退款金额: FREFUNDAMOUNTFOR_E
退款金额本位币: FREFUNDAMOUNT_E
登账日期: FPOSTDATE
是否登账: FISPOST
采购订单号（预付订单号）: FPURCHASEORDERNO
采购订单内码: FPURCHASEORDERID
物料编码: FMATERIALID
物料名称: FMATERIALNAME
采购订单行号: FMATERIALSEQ
采购订单明细内码: FORDERENTRYID
采购订单编号（按物料和订单收付）: FPURCHASEORDERNUMBER
计价单位: FPRICEUNITID
含税单价: FPRICE
数量: FQTY
已核销金额本位币: FWRITTENOFFAMOUNT
管易销售订单号: FGYSALEORDERNO
未核销金额: FNOTVERIFICATEAMOUNT
费用承担部门: FEXPENSEDEPTID_E
关联行ID: FLinkRowId
现金折扣: FDISTAMOUNTFOR
现金折扣本位币: FDISTAMOUNT
长短款: FOUAMOUNTFOR
长短款本位币: FOUAMOUNT
退款单源单明细: FRefundBillSrcEntity
应退金额: FAFTTAXTOTALAMOUNT
结算方式: FSRCSETTLETYPEID
本次退款金额: FREALREFUNDAMOUNT_S
源单内码: FSRCBILLID
源单行内码: FSRCROWID
源单行号: FSRCSEQ
计划退款金额: FPLANREFUNDAMOUNT
源单结算币别: FSRCCURRENCYID
源单类型: FSOURCETYPE
源单编号: FSRCBILLNO
到期日: FEXPIRY
付款用途: FPAYPURPOSEID
物料编码: FSRCMATERIALID
物料名称: FSRCMATERIALNAME
采购订单号: FSRCPURCHASEORDERNO
采购订单行号: FSRCMATERIALSEQ
采购订单明细内码: FSRCORDERENTRYID
计价单位: FSRCPRICEUNITID
含税单价: FSRCPRICE
数量: FSRCQTY
费用承担部门: FEXPENSEDEPTID
费用项目: FExpID
税额: FTaxAmt
预付采购订单号: FPREPAYORDERNO
本次退款金额本位币: FREALREFUNDAMOUNTMB
结算金额: FSETTLEAMOUNT
关联行ID: FSrcLinkRowId
源单我方银行账号: FSRCACCOUNTID
现金折扣: FSRCDISTAMOUNTFOR
现金折扣本位币: FSRCDISTAMOUNT
长短款: FSRCOUAMOUNTFOR
长短款本位币: FSRCOUAMOUNT
应收票据背书: FRefundBillRecEntry
票据流水号: FBillRecId
票据类型: FKDBPBILLTYPE
客户: FKDBPARCUSTOMER
原付款用途: FPayPurseId
背书退回金额: FReTurnAmount
内部账户: FInnerActId
票面金额: FParAmount
往来单位类型: FBCONTACTUNITTYPE
往来单位: FBCONTACTUNIT
票据（包）号: FKDBPARBILLNO
背书退回金额本位币: FReTurnAmountSTD
票面金额本位币: FPARAMOUNTSTD
票据号码: FPTRCBILLNUMBER
应收票据明细: FBILLREFUNDRECENTRY
内部账号: FInnerAccountID_B
票据流水号: FBILLID
票据类型: FBPBILLTYPE
可用余额: FPARLEFTAMOUNTFOR
当前占用金额: FUSEDAMOUNTFOR
到期日: FBPBILLDUEDATE
结算状态: FBPSETTLESTATUS
票据组织: FTempOrgId
票面金额: FBPBILLPARAMOUNT
票面金额本位币: FBILLPARAMOUNTSTD
可用余额本位币: FPARLEFTAMOUNTSTD
当前占用金额本位币: FUSEDAMOUNTSTD
票据（包）号: FBPBILLNUMBER
是否托管: FISTRUST
票据号码: FFRCBILLNUMBERPR
应付票据退票: FREFUNDBILLPAYABLEENTRY
票据流水号: FPAYBILLID
票据类型: FPAYBILLTYPE
往来单位类型: FPCONTACTUNITTYPE
往来单位: FPAYCONTACTUNIT
票面金额: FBPBILLPARAMOUNT_T
退票金额: FRETURNBILLAMOUNT
票据（包）号: FKDBPBILLNO
原付款用途: FPAYPURSEPAYID
票面金额本位币: FKDBPPARAMOUNTFOR
退票金额本位币: FBILLPARAMOUNTFOR
内部账号: FINNERACCOUNTID_T
票据号码: FRCBILLNUMBERTY
关联关系表: FRefundBillSrcEntity_Link
实体主键: FLinkId
业务流程图: FRefundBillSrcEntity_Link_FFlowId
推进路线: FRefundBillSrcEntity_Link_FFlowLineId
转换规则: FRefundBillSrcEntity_Link_FRuleId
源单表内码: FRefundBillSrcEntity_Link_FSTableId
源单表: FRefundBillSrcEntity_Link_FSTableName
源单内码: FRefundBillSrcEntity_Link_FSBillId
源单分录内码: FRefundBillSrcEntity_Link_FSId
原始携带量: FRefundBillSrcEntity_Link_FREALREFUNDAMOUNT_SOld
修改携带量: FRefundBillSrcEntity_Link_FREALREFUNDAMOUNT_S
迁移图: FRefundBillSrcEntity_Link_FLnkTrackerId
上游状态: FRefundBillSrcEntity_Link_FLnkSState
数量FLnk: FRefundBillSrcEntity_Link_FLnkAmount
