# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
单据头: FBillHead
实体主键: FID
单据编号: FBillNo
单据状态: FDocumentStatus
单据类型: FBillTypeID
业务日期: FDATE
到期日: FENDDATE_H
往来单位: FCONTACTUNIT
往来单位类型: FCONTACTUNITTYPE
币别: FCURRENCYID
结算组织: FSETTLEORGID
付款条件: FPayConditon
结算方式: FSettleTypeID
本位币: FMAINBOOKSTDCURRID
汇率类型: FEXCHANGETYPE
汇率: FExchangeRate
作废日期: FCancelDate
创建日期: FCreateDate
作废状态: FCancelStatus
修改日期: FModifyDate
审核人: FAPPROVERID
审核日期: FAPPROVEDATE
作废人: FCancellerId
修改人: FModifierId
创建人: FCreatorId
未借款金额: FNOTSETTLEAMOUNTFOR
表头基本 - 付款核销状态: FWRITTENOFFSTATUS
表头基本 - 付（退）款单的关联金额: FRelateHadPayAmount
未借款金额本位币: FNOTSETTLEAMOUNT
来源系统: FSOURCESYSTEM
申请部门: FDEPARTMENTID
总金额: FTOTALAMOUNTFOR_H
总金额本位币: FTOTALAMOUNT_H
已付款核销金额: FWRITTENOFFAMOUNTFOR
是否期初单据: FISINIT
不含税金额本位币: FNOTAXAMOUNT
税额本位币: FTAXAMOUNT
到期日计算日期: FACCNTTIMEJUDGETIME
付款组织: FPAYORGID
业务类型: FBUSINESSTYPE
历史借款余额原币: FHisLoanBalanceFor
备注: FRemarks
扫描点: FScanPoint
转销: FIsWriteOff
采购组: FPURCHASERGROUPID
采购员: FPURCHASERID
采购部门: FPURCHASEDEPTID
采购组织: FPURCHASEORGID
转出往来单位类型: FOUTCONTACTTYPE
转出往来单位: FOUTCONTACTID
预设基础资料字段1: FPRESETBASE1
预设基础资料字段2: FPRESETBASE2
预设辅助资料字段1: FPRESETASSISTANT1
预设辅助资料字段2: FPRESETASSISTANT2
预设文本字段1: FPRESETTEXT1
预设文本字段2: FPRESETTEXT2
项目: F_TJKT_Base_83g_re5_apv
单据体: FEntity
实体主键: FEntryID
费用项目编码: FCOSTID
总金额: FTOTALAMOUNTFOR
已借款金额: FLOANAMOUNTFOR
未借款金额: FNOTSETTLEAMOUNTFOR_D
备注: FCOMMENT
费用项目名称: FCOSTNAME
总金额本位币: FTOTALAMOUNT
未借款金额本位币: FNOTSETTLEAMOUNT_D
已借款金额本位币: FLOANAMOUNT
付款单号: FPayBillNO
不含税金额: FNOTAXAMOUNTFOR
税额: FTAXAMOUNTFOR
不含税金额本位币: FNOTAXAMOUNT_D
税额本位币: FTAXAMOUNT_D
费用承担部门: FCOSTDEPARTMENTID
表体-付（退）款单的关联金额: FRELATEHADPAYAMOUNT_D
付款申请关联金额: FAPPLYAMOUNT
源单类型: FSOURCETYPE
源单编号: FSourceBillNo
核销状态: FWRITTENOFFSTATUS_D
已核销金额: FWRITTENOFFAMOUNTFOR_D
发票类型: FINVOICETYPE
已生成发票: FCREATEINVOICE
税率(%): FEntryTaxRate
付（退）款单关联金额本位币: FWRITTENOFFAMOUNT
已开票金额: FIVAmountFor
已付款申请关联金额: FAMOUNTPAID
未核销金额: FNOTWRITTENOFFAMOUNTFOR
项目: F_TJKT_Base_qtr
关联付款子单体: FPaySubEntity
实体主键: FDetailID
付款单FID: FPayFID
单据编号: FPayNO
明细EntryID: FPayEntryID
可用金额: FPAYMAXAMOUNTFOR
本次借款金额: FRELATEAMOUNTFOR
关联关系表: FEntity_Link
实体主键: FLinkId
业务流程图: FEntity_Link_FFlowId
推进路线: FEntity_Link_FFlowLineId
转换规则: FEntity_Link_FRuleId
源单表内码: FEntity_Link_FSTableId
源单表: FEntity_Link_FSTableName
源单内码: FEntity_Link_FSBillId
源单分录内码: FEntity_Link_FSId
原始携带量: FEntity_Link_FTOTALAMOUNTFOROld
修改携带量: FEntity_Link_FTOTALAMOUNTFOR
