# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
单据头: FBillHead
实体主键: FID
单据编号: FBillNo
单据状态: FDocumentStatus
单据类型: FBillTypeID
业务日期: FDATE
到期日: FENDDATE_H
往来单位: FCONTACTUNIT
往来单位类型: FCONTACTUNITTYPE
币别: FCURRENCYID
结算组织: FSETTLEORGID
收款条件: FPayConditon
本位币: FMAINBOOKSTDCURRID
汇率类型: FEXCHANGETYPE
汇率: FExchangeRate
作废日期: FCancelDate
创建日期: FCreateDate
作废状态: FCancelStatus
修改日期: FModifyDate
审核人: FAPPROVERID
审核日期: FAPPROVEDATE
作废人: FCancellerId
修改人: FModifierId
创建人: FCreatorId
总金额: FAMOUNTFOR
表头基本 - 收款核销状态: FWRITTENOFFSTATUS
表头基本 - 收（退）款单的关联金额: FRelateHadPayAmount
总金额本位币: FAMOUNT
来源系统: FSOURCESYSTEM
申请部门: FDEPARTMENTID
结算方式: FSettleTypeID
已收款核销金额: FWRITTENOFFAMOUNTFOR
是否期初单据: FISINIT
到期日计算日期: FACCNTTIMEJUDGETIME
不含税金额本位币: FNOTAXAMOUNT
税额本位币: FTAXAMOUNT
收款组织: FPAYORGID
表头-付款申请关联金额: FAPPLYAMOUNT_H
销售组织: FSALEORGID
备注: FAR_OtherRemarks
扫描点: FScanPoint
转销: FIsWriteOff
收（退）款单关联金额本位币: FWRITTENOFFAMOUNT
销售员: FSALEERID
销售组: FSALEGROUPID
销售部门: FSALEDEPTID
转出往来单位类型: FOUTCONTACTTYPE
转出往来单位: FOUTCONTACTID
预设基础资料字段1: FPRESETBASE1
预设基础资料字段2: FPRESETBASE2
预设辅助资料字段1: FPRESETASSISTANT1
预设辅助资料字段2: FPRESETASSISTANT2
预设文本字段1: FPRESETTEXT1
预设文本字段2: FPRESETTEXT2
按费用项目明细收款: FISENTRYMATCH
未核销金额: FNOTWRITTENOFFAMOUNTFOR_H
单据体: FEntity
实体主键: FEntryID
费用项目编码: FCOSTID
总金额: FAMOUNTFOR_D
备注: FCOMMENT
费用项目名称: FCOSTNAME
总金额本位币: FAMOUNT_D
不含税金额: FNOTAXAMOUNTFOR
税额: FTAXAMOUNTFOR
不含税金额本位币: FNOTAXAMOUNT_D
税额本位币: FTAXAMOUNT_D
费用承担部门: FCOSTDEPARTMENTID
付款申请关联金额: FAPPLYAMOUNT
源单类型: FSOURCETYPE
源单编号: FSourceBillNo
发票类型: FINVOICETYPE
已生成发票: FCREATEINVOICE
税率(%): FEntryTaxRate
已开票金额: FIVAmountFor
核销状态: FWRITTENOFFSTATUS_E
已核销金额: FWRITTENOFFAMOUNTFOR_E
已核销金额本位币: FWRITTENOFFAMOUNT_E
未核销金额: FNOTWRITTENOFFAMOUNTFOR
未核销金额本位币（作废）: FNOTWRITTENOFFAMOUNT
收（退）款关联金额原币: FRELATEHADPAYAMOUNT_E
关联关系表: FEntity_Link
实体主键: FLinkId
业务流程图: FEntity_Link_FFlowId
推进路线: FEntity_Link_FFlowLineId
转换规则: FEntity_Link_FRuleId
源单表内码: FEntity_Link_FSTableId
源单表: FEntity_Link_FSTableName
源单内码: FEntity_Link_FSBillId
源单分录内码: FEntity_Link_FSId
原始携带量: FEntity_Link_FAMOUNTFOR_DOld
修改携带量: FEntity_Link_FAMOUNTFOR_D
