# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
库存组织: FSTOCKORGID
仓库: FSTOCKID
货主: FOwnerID
存货类别: FMATERTYPE
会计政策编码: FACCTPOLICYID
核算范围: FACCTGRANGEID
至: FENDEXPENID
核算体系编码: FACCTGSYSTEMID
库存状态: FSTOCKSTATUSID
无收发不显示: FCHXNOINOUT
开始会计年度: FYear
核算组织名称: FACCTGORGNAME
会计政策名称: FAcctPolicyName
核算组织编码: FACCTGORGID
显示费用项目明细: FCHXEXPENSE
结束会计期间: FEndPeriod
费用项目: FEXPENID
开始会计期间: FPeriod
物料编码: FSTARTMATERIALID
结束会计年度: FENDYEAR
核算体系名称: FACCTGSYSTEMNAME
至: FENDMATERIALID
不统计核算组织内调拨单据: FCHXNOCOSTALLOT
显示本期小计: FPeriodTotal
不统计库存调整单据: FCHXNOSTOCKADJ
会计期间: FPERIOD
业务日期: FBILLDATE
凭证字号: FVOUCHER
单据编号: FBILLNO
单据行号: FSEQ
事务类型: FBUSINESSTYPE
单据名称: FBillFormName
物料编码: FMATERIALID
物料名称: FMATERIALNAME
BOM版本: FBOMNO
辅助属性: FASSIPROPNAME
规格型号: FMODEL
计划跟踪号: FPLANNO
批号: FLOTNO
存货类别: FMATERTYPENAME
物料分组: FMaterialGroup
货主: FOWNERNAME
库存组织编码: FSTOCKORGNO
库存组织名称: FSTOCKORGNAME
仓库编码: FSTOCKNO
仓库名称: FSTOCKNAME
仓位名称: FSTOCKPLACENAME
库存状态: FSTOCKSTATUSNAME
核算范围编码: FACCTGRANGENUMBER
核算范围名称: FACCTGRANGENAME
部门: FdepatName
基本单位: FUNITNAME
收入数量: FRECEIVEQty
收入单价: FRECEIVEPrice
收入金额: FRECEIVEAmount
发出数量: FSENDQty
发出单价: FSENDPrice
发出金额: FSENDAmount
结存数量: FENDQty
结存单价: FENDPrice
结存金额: FENDAmount
备注: FREMARK
成本赋值日期: FACCTGPRICEDATE
成本来源: FACCTGPRICESOURCE
