# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
核算体系编码: FACCTGSYSTEMID
核算体系名称: FACCTGSYSTEMNAME
开始会计年度: FYear
开始会计期间: FPeriod
核算组织编码: FACCTGORGID
核算组织名称: FACCTGORGNAME
货主: FOwnerID
核算范围: FACCTGRANGEID
库存组织: FSTOCKORGID
至: FENDMATERIALID
仓库编码: FSTOCKId
物料编码: FMATERIALID
只显示汇总行: FCHXTotal
无收发不显示: FCHXNOINOUT
不统计核算组织内调拨单据: FCHXNOCOSTALLOT
显示费用项目明细: FCHXEXPENSE
汇总依据: FCOMBOTotalType
单据状态: FCOMBOSTATUS
结束会计年度: FENDYEAR
结束会计期间: FEndPeriod
会计政策名称: FAcctPolicyName
会计政策编码: FACCTPOLICYID
费用项目: FEXPENID
至: FENDEXPENID
库存状态: FSTOCKSTATUSID
币别: FCURRENCYID
显示各期间明细: FIsDisplayPeriod
存货类别: FMATERTYPEID
不统计库存调整单据: FCHXNOSTOCKADJ
显示维度: FDimType
至: FENDSTOCKID
会计期间: FYearPeriod
物料编码: FMATERIALBASEID
物料名称: FMATERIALNAME
物料属性: FMATERPROPERTY
存货类别: FMATERTYPE
物料分组: FMATERIALGROUP
规格型号: FMODEL
库存状态: FSTOCKSTATUSNAME
批号: FLOTNO
辅助属性: FASSIPROPNAME
BOM版本: FBOMNO
计划跟踪号: FPLANNO
货主: FOWNERNAME
库存组织: FSTOCKORGNAME
仓库: FSTOCKId
仓位: FSTOCKPLACENAME
核算范围编码: FACCTGRANGEID
核算范围名称: FACCTGRANGENAME
费用项目编码: FEXPENSEID
费用项目名称: FEXPENSENAME
基本单位: FUNITNAME
期初结存数量: FINITQty
期初结存单价: FINITPrice
期初结存金额: FINITAMOUNT
本期收入数量: FRECEIVEQty
本期收入单价: FRECEIVEPrice
本期收入金额: FRECEIVEAmount
本期发出数量: FSENDQty
本期发出单价: FSENDPrice
本期发出金额: FSENDAmount
期末结存数量: FENDQty
期末结存单价: FENDPrice
期末结存金额: FENDAmount
