# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
单据头: FBillHead
实体主键: FID
单据编号: FBillNo
创建人: FCreatorId
审核人: FAPPROVERID
修改人: FModifierId
创建日期: FCreateDate
修改日期: FModifyDate
审核日期: FAPPROVEDATE
业务分类: FBusinessType
单据状态: FDOCUMENTSTATUS
本位币: FCURRENCYID
业务日期: FDate
核销关系: FMatchRelation
结算组织: FSETTLEORGID
收付组织: FPAYORGID
单据类型: FBillTypeID
会计核算体系: FACCOUNTSYSTEM
是否启用生成: FISAUTOGEN
是否系统生成: FISSYSTEMGEN
调汇维度: FEXCHANGEADJTYPE
明细: FEntity
实体主键: FEntryID
汇率: FEXCHANGERATE
业务部门: FBUSINESSDEPTID
业务员: FBUSINESSERID
源单编号: FSRCBILLNO
调汇原币金额: FCURAMOUNTFOR
调汇金额: FADJEXCAMOUNT
往来单位类型: FCONTACTUNITTYPE
往来单位: FCONTACTUNIT
目标单据编号: FTargetBillNO
目标单本位币金额: FTARGETCURAMOUNT
源单本位币金额: FCURAMOUNT
币别: FSETCURRENCYID
单据类型: FBILLTYPEID_E
单据: FBILLTITLE
本位币金额（调汇前）: FBEFOREADJEXCAMOUNT
本位币金额（调汇后）: FAFTERADJEXCAMOUNT
汇兑损益: FEXGOLAMOUNT
期末调汇关联余额表ID: FCONTACTBALID
源单单据类型: FSourceBillType
目标单单据类型: FTargetBillTypeId
预设基础资料字段1: FPRESETBASE1
预设基础资料字段2: FPRESETBASE2
预设辅助资料字段1: FPRESETASSISTANT1
预设辅助资料字段2: FPRESETASSISTANT2
预设文本字段1: FPRESETTEXT1
预设文本字段2: FPRESETTEXT2
