# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
单据头: FBillHead
实体主键: FID
单据编号: FBillNo
单据状态: FDOCUMENTSTATUS
创建人: FCreaterId
创建日期: FCreateDate
结算组织: FSETTLEORGID
审核日期: FApproveDate
销售组织: FSALEORGID
汇率类型: FEXCHANGETYPE
本位币: FMAINBOOKCURRID
应退金额本位币: FREFUNDTOTALAMOUNT
业务日期: FDATE
币别: FCURRENCYID
修改日期: FModifyDate
修改人: FModifierId
汇率: FEXCHANGERATE
核销状态: FWRITTENOFFSTATUS
单据类型: FBillTypeID
表头-应退金额: FREFUNDTOTALAMOUNTFOR
销售员: FSALEERID
销售组: FSALEGROUPID
销售部门: FSALEDEPTID
审核人: FAPPROVERID
表头-实退金额: FREALREFUNDAMOUNTFOR
实退金额本位币: FREALREFUNDAMOUNT
会计核算体系: FACCOUNTSYSTEM
作废日期: FCancelDate
作废人: FCancellerId
作废状态: FCancelStatus
收款单位类型: FRECTUNITTYPE
往来单位: FCONTACTUNIT
往来单位类型: FCONTACTUNITTYPE
收款单位: FRECTUNIT
业务类型: FBUSINESSTYPE
信用检查结果: FCreditCheckResult
是否期初单据: FISINIT
部门: FDepartment
付款组织: FPAYORGID
是否相同组织: FISSAMEORG
结算币别: FSETTLECUR
结算汇率: FSETTLERATE
表头-退款金额本位币: FREFUNDAMOUNT_H
退款金额: FREFUNDAMOUNTFOR_H
B2C业务: FISB2C
来源系统: FSOURCESYSTEM
是否转销: FIsWriteOff
核销方式: FMatchMethodID
扫描点: FScanPoint
备注: FREMARK
期望付款日期: FBookingDate
第三方单据编号: FTHIRDBILLNO
流水号: FWBSETTLENO
结算本位币: FSETTLEMAINBOOKID
结算汇率类型: FSETTLEEXCHANGETYPE
来源交易明细: FISFROMTRADEBANK
管易财务流水内码: FGYACCOUNTWATERID
是否下推携带汇率到结算汇率: FISCARRYRATE
预设基础资料字段2: FPRESETBASE2
预设基础资料字段1: FPRESETBASE1
现销: FCASHSALE
预设辅助资料字段1: FPRESETASSISTANT1
预设辅助资料字段2: FPRESETASSISTANT2
预设文本字段1: FPRESETTEXT1
预设文本字段2: FPRESETTEXT2
是否来源于整单退款: FISFROMALLREFUND
是否同一核算组织: FVirIsSameAcctOrg
最新付款交易时间: FLastFinishTime
退款单明细: FREFUNDBILLENTRY
实体主键: FEntryID
结算方式: FSETTLETYPEID
表体-应退金额: FREFUNDAMOUNTFOR
备注: FNOTE
表体明细-核销状态: FWRITTENOFFSTATUS_D
表体明细-已核销金额: FWRITTENOFFAMOUNTFOR_D
对方银行账号: FOPPOSITEBANKACCOUNT
对方账户名称: FOPPOSITECCOUNTNAME
应退金额本位币: FREFUNDAMOUNT
手续费: FHANDLINGCHARGEFOR
表体-实退金额: FREALREFUNDAMOUNTFOR_D
手续费本位币: FHANDLINGCHARGE
实退金额本位币: FREALREFUNDAMOUNT_D
我方银行账号: FACCOUNTID
我方账户名称: FOURACCOUNTNAME
我方开户行: FOURBANKID
对方开户行: FOPPOSITEBANKNAME
结算号: FSETTLENO
勾对: FBLEND
原收款用途: FPURPOSEID
开户行地址: FOpenAddressRec
收款类型: FRecType
联行号: FCNAPS
收款银行（作废）: FBankTypeRec
省（作废）: FProvince
城市（作废）: FCity
地区（作废）: FDistrict
加急(作废): FUrgent
提交银行状态: FSubmitStatus
提交/撤销银行人: FSubmitUser
提交/撤销银行时间: FSubmitBankTime
银行处理状态: FBankStatus
银行状态码: FBankCode
内部账号: FINNERACCOUNTID
内部账户名称: FINNERACCOUNTNAME
现金账号: FCashAccount
退款金额: FREFUNDAMOUNTFOR_E
退款金额本位币: FREFUNDAMOUNT_E
登账日期: FPOSTDATE
是否登账: FISPOST
销售订单号（预付订单号）: FSALEORDERNO
销售订单内码: FSALEORDERID
物料编码: FMATERIALID
物料名称: FMATERIALNAME
订单行号: FMATERIALSEQ
销售订单明细内码: FORDERENTRYID
入账类型: FRuZhangType
银企处理详细信息: FEBMSG
销售订单号（按物料和订单收付）: FSALEORDERNUMBER
支付类型: FPayType
SwiftCode: FSwiftCode
已核销金额本位币: FWRITTENOFFAMOUNT
流水号/对账码: FCHECKCODE
省: FNProvince
城市: FNCity
地区: FNDistrict
国别: FCountry
银行网点: FBankDetail
签名: FSignature
错误码: FReturnMsg
付款完成时间: FFinishTime
地区码: FDistrictCode
付款回调时间: FResponseTme
请求时间: FRequestTime
对方地址: FOtherPartyAdress
对方邮箱: FOtherPartyEmail
交易类型: FTransacType
电文指示: FMessageInstruct
服务级别: FServiceLevel
付款方式: FPayMethod
CNY付款方式: FCNYPayMethod
兑换合约号: FExContractNo
收款币别: FCollectionCurr
收款金额: FCollectionAmount
收款银行BIC: FReceiveBankBIC
收款银行代码: FReceiveBankCode
收款支行代码: FReceiveBranchCode
手续费承担方: FServiceChargeBear
手续费账号: FServiceChargeNo
手续费账号银行: FServiceChargeBank
手续费币别: FServiceChargeCurr
CNAPSNum: FCNAPSNum
人民币交易种类: FCNYTransactType
人民币付款方式: FRMBPayMethod
代理行账号: FAgentBankAcnt
代理行名称: FAgentBankName
代理行国家\地区: FAgentBankArea
SWIFT Code(代理行): FAgentSWIFTCode
代理行地址: FAgentBankAddress
收款银行本地清算码: FReceiveBankClear
收款人本地清算分行代码: FReceiveBranchClear
清算要求参数: FClearParameter
通过代理行完成: FByAgentBank
境外支付: FOverseaPay
未核销金额: FNOTVERIFICATEAMOUNT
计价单位: FPRICEUNITID
含税单价: FPrice
数量: FQty
费用项目: FCOSTID
费用项目名称: FCOSTNAME
费用承担部门: FCOSTDEPARTMENTID
关联行ID: FLinkRowId
现金折扣: FDISTAMOUNTFOR
长短款: FOUAMOUNTFOR
现金折扣本位币: FDISTAMOUNT
长短款本位币: FOUAMOUNT
系统支付用途: FUse
协定汇率: FXDexchangeRate
加急标志: FUrgentSign
退款单源单明细: FREFUNDBILLSRCENTRY
应退金额: FAFTTAXTOTALAMOUNT
到期日: FEXPIRY
结算方式: FSRCSETTLETYPEID
本次退款金额: FREALREFUNDAMOUNT_S
源单内码: FSRCBILLID
源单行内码: FSRCROWID
源单行号: FSRCSEQ
计划退款金额: FPLANREFUNDAMOUNT
源单结算币别: FSRCCURRENCYID
源单类型: FSOURCETYPE
源单编号: FSRCBILLNO
收款用途: FPAYPURPOSEID
销售订单号: FORDERBILLNO
物料编码: FSRCMATERIALID
物料名称: FSRCMATERIALNAME
订单行号: FSRCMATERIALSEQ
销售订单明细内码: FSRCORDERENTRYID
备注: FSRCREMARK
本次退款金额本位币: FREALREFUNDAMOUNTMB
计价单位: FSRCPRICEUNITID
含税单价: FSRCPRICE
数量: FSRCQTY
预收销售订单号: FRECEIVEITEM
预收销售订单内码: FSrcSaleOrderID
费用项目: FSRCCOSTID
费用项目名称: FSRCCOSTNAME
费用承担部门: FSRCCOSTDEPARTMENTID
关联行ID: FSrcLinkRowId
源单我方银行账号: FSRCACCOUNTID
现金折扣: FSRCDISTAMOUNTFOR
长短款: FSRCOUAMOUNTFOR
现金折扣本位币: FSRCDISTAMOUNT
长短款本位币: FSRCOUAMOUNT
应付票据明细: FREFUNDBILLPAYENTRY
内部账户: FINNERACCOUNTID_B
票据流水号: FBILLID
票据类型: FKDBPBILLTYPE
可用余额: FPARLEFTAMOUNTFOR
当前占用金额: FUSEDAMOUNTFOR
到期日: FKDBPDUEDATE
结算状态: FKDBPSETTLESTATUS
票据组织(临时用的): FTempOrgId
票据（包）号: FKDBPBILLNO
票面金额: FKDBPPARAMOUNT
票面金额本位币: FKDBPPARAMOUNTSTD
可用余额本位币: FPARLEFTAMOUNTSTD
当前占用金额本位币: FUSEDAMOUNTSTD
票据号码: FRCBILLNUMBERPRT
应收票据背书: FBillRefundPayEntry
票据流水号: FBillRecId
票据类型: FKDBPBILLTYPE1
票面金额: FParAmount
客户: FKDBPARCUSTOMER
原收款用途: FPayPurseId
背书金额: FReTurnAmount
内部账户: FInnerActId
往来单位类型: FBCONTACTUNITTYPE
往来单位: FBCONTACTUNIT
背书金额本位币: FRETURNAMOUNTSTD
票面金额本位币: FPARAMOUNTSTD
票据（包）号: FKDBPARBILLNO
电票状态: FRNoteStatus
已电票背书: FIsEndorse
银企背书: FBankEndorse
银行处理状态: FRBankStatus
被背书人账号: FEndorseeNo
被背书人开户行行名: FOppBankName
被背书人开户行行号: FEndorseeCnapsCode
票据号码: FRCBILLNUMBERPR
等分化票据: FIsSplitTicket
子票包开始序号: FSTARTNO
子票包终止序号: FENDNO
新电票状态: FNEWNOTESTATUS
票据流通状态: FCIRSTATUS
票据来源: FTICKETFROM
应收票据退票: FREFUNDBILLRECEIVENTRY
票据流水号: FRECBILLID
往来单位: FRECCONTACTUNIT
往来单位类型: FRCONTACTUNITTYPE
票面金额: FBPBILLPARAMOUNT
退票金额: FRETURNBILLAMOUNT
票据（包）号: FBPBILLNUMBER
原收款用途: FPAYPURSERECID
退票金额本位币: FRETURNAMOUNTFOR
票面金额本位币: FBILLPARAMOUNTFOR
内部账号: FINNERACCOUNTID_T
票据类型: FRECBILLTYPE
票据号码: FPTRCBILLNUMBER
关联关系表: FRefundBillSrcEntry_Link
实体主键: FLinkId
业务流程图: FRefundBillSrcEntry_Link_FFlowId
推进路线: FRefundBillSrcEntry_Link_FFlowLineId
转换规则: FRefundBillSrcEntry_Link_FRuleId
源单表内码: FRefundBillSrcEntry_Link_FSTableId
源单表: FRefundBillSrcEntry_Link_FSTableName
源单内码: FRefundBillSrcEntry_Link_FSBillId
源单分录内码: FRefundBillSrcEntry_Link_FSId
原始携带量: FRefundBillSrcEntry_Link_FREALREFUNDAMOUNT_SOld
修改携带量: FRefundBillSrcEntry_Link_FREALREFUNDAMOUNT_S
迁移图: FRefundBillSrcEntry_Link_FLnkTrackerId
上游状态: FRefundBillSrcEntry_Link_FLnkSState
数量FLnk: FRefundBillSrcEntry_Link_FLnkAmount
