# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
单据头: FBillHead
实体主键: FID
单据编号: FBillNo
数据状态: FDocumentStatus
销售方开户行及账号: FSALEBANKINFO
发票号码: FIVNUMBER
销售方纳税人识别号: FSALETAXNUMBER
销售方地址电话: FSALEMAILINFO
销售方名称: FSALENAME
发票代码: FIVCODE
不含税金额: FSUMAMOUNT
价税合计: FSUMALLAMOUNT
税额: FSUMTAXAMOUNT
开票日期: FOPENDATE
发票状态: FSTATUS
勾选日期: FCHECKDATE
是否勾选: FISCHECK
勾选认证日期: FCONFIRMDATE
是否勾选认证: FISCONFIRM
扫描认证日期: FSCANCONFIRMDATE
是否扫描认证: FISSCANCONFIRM
发票类别: FINVOICETYPE
购货方开户行及账号: FPURBANKINFO
购货方纳税识别号: FPURTAXNUMBER
购货方地址电话: FPURMAILINFO
购货方名称: FPURNAME
发票快照地址: FPDFURL
创建人: FCreatorId
创建日期: FCreateDate
来源组织: FSOURCEORGID
结算组织: FSETTLEORGID
关联单据编号: FLINKIVNUMBER
关联单据类型: FLINKBILLTYPE
发票原件地址: FPICTUREURL
查验状态: FISEXAMINE
查验结果: FEXAMINEDESC
发票云流水号: FPIAOZONESERIALNUMBER
生成方式: FGENERATETYPE
开票人: FDRAWER
收款人: FPAYEE
复核人: FREVIEWER
备注: FRemark
校验码: FCHECKCODE
代开标识: FPROXYMARK
税款所属期: FTAXPERIOD
关联单据内码: FLINKBILLID
旅客姓名: FPASSENGERNAME
税率: FTAXRATE_H
民航发展基金: FDEVELOPMENTFUND
原始销售方纳税人识别号: FORIGINALSALETAXNUMBER
上车时间: FTIMEGETON
下车时间: FTIMEGETOFF
里程: FMILEAGE
所在地: FPLACE
车次: FTRAINNUM
起点: FSTATIONGETON
终点: FSTATIONGETOFF
座位等级: FSEATGRADE
乘车时间: FTRAINTIME
航班号: FFLIGHTNUM
消费类型: FCONSUMPTIONTYPE
是否可抵扣: FISDEDUCTION
发票是否有修改: FISREVISE
电子凭证XBRL文件名称: FXBRLNAME
电子凭证XBRL文件地址: FXBRLURL
是否电子凭证: FISELECTRONIC
保险费: FInsurancePremium
单据类型: FBillTypeID
修改人: FModifierId
修改日期: FModifyDate
有效税额: FEFFECTIVETAXAMOUNT
特定业务类型: FSpecialBusinessType
乘车日期: FCarrierDate
数电票税局源文件pdf: FPICTUREPDFURL
数电票税局源文件ofd: FPICTUREOFDURL
数电票税局源文件xml: FPICTUREXMLURL
业务类型: FTYPEOFBUSINESS
关联单据日期: FLINKBILLDATE
单据体: FEntity
实体主键: FEntryID
项目名称: FITEMNAME
单位: FUNIT
规格: FSPECIFICATIONS
数量: FQTY
单价: FPRICE
金额: FAMOUNT
税率: FTAXRATE
税额: FTAXAMOUNT
税收分类编码: FTAXCODE
金额合计: FTOTALAMOUNT
关联单据入账信息: Fentity_JoinBill
关联单据类型: FJoinBillTypeId
关联单据编号: FJoinBillNo
会计核算体系: FAccountSystem
关联单据金额: FJoinAmountFor
账簿: FBookId
记账期间: FPeriod
关联单据内码: FJoinBillId
凭证ID: FVoucherId
凭证日期: FVoucherDate
凭证编号: FVoucherBillNo
凭证字: FVoucherGroupId
凭证号: FVoucherGroupNo
凭证制单人: FVoucherCreatorId
