# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
核算组织: FACCTENTITY
账簿: FACCTBOOKID
会计年度: FSTARTYEAR
会计期间: FSTARTPERIOD
至: FENDYEAR
至: FENDPERIOD
科目编码: FSTARTBALANCE
至: FENDBALANCE
显示禁用科目: FFORBIDBALANCE
包括未过账凭证: FNOTPOSTVOUCHER
余额按借方、贷方分别小计: FDEBITORCREDIT
包括余额为零的科目: FBALANCEZERO
包括没有业务发生的科目（期初、本年累计）: FNOBUSINESS
包括本期没有发生额的科目: FPERIODNOBALANCE
包括本年没有发生额的科目: FYEARNOBALANCE
币别: FCURRENCY
科目级别: FBALANCELEVEL
显示核算维度明细: FSHOWDETAIL
显示科目全名: FSHOWFULLNAME
核算维度明细行显示科目信息: FDETAILSHOWACCT
只显示明细科目: FSHOWDETAILONLY
不包含调整期凭证: FEXCLUDEADJUSTVCH
核算维度余额按借方、贷方分别小计: FFLEXDEBITORCREDIT
核算维度分列显示: FSHOWFLEXBYCOL
科目编码: FBALANCEID
科目名称: FBALANCENAME
科目类别: FACCTTYPE
会计要素: FACCTGROUP
核算维度编码: FDETAILNUMBER
核算维度名称: FDETAILNAME
币别: FCyName
年初余额-原币（借）: FBEGINYEARDEBIT
年初余额-本位币（借）: FBEGINYEARDEBITLOCAL
年初余额-原币（贷）: FBEGINYEARCREDIT
年初余额-本位币（贷）: FBEGINYEARCREDITLOCAL
期初余额-原币（借）: FBEGINDEBIT
期初余额-本位币（借）: FBEGINDEBITLOCAL
期初余额-原币（贷）: FBEGINCREDIT
期初余额-本位币（贷）: FBEGINCREDITLOCAL
本期发生-原币（借）: FDEBIT
本期发生-本位币（借）: FDEBITLOCAL
本期发生-原币（贷）: FCREDIT
本期发生-本位币（贷）: FCREDITLOCAL
本年累计-原币（借）: FYTDDEBIT
本年累计-本位币（借）: FYTDDEBITLOCAL
本年累计-原币（贷）: FYTDCREDIT
本年累计-本位币（贷）: FYTDCREDITLOCAL
期末余额-原币（借）: FENDDEBIT
期末余额-本位币（借）: FENDDEBITLOCAL
期末余额-原币（贷）: FENDCREDIT
期末余额-本位币（贷）: FENDCREDITLOCAL
方向: FACCTDC
本期实际损益发生额-原币: FPROFIT
本期实际损益发生额-本位币: FPROFITLOCAL
本年累计实际损益发生额-原币: FYTDPROFIT
本年累计实际损益发生额-本位币: FYTDPROFITLOCAL
