# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
单据头: FBillHead
实体主键: FID
单据编号: FBillNo
单据状态: FDocumentStatus
币别: FCurrencyID
申请部门: FDeptID
申请日期: FDate
费用承担部门: FCostDeptID
申请借款: FIsBorrow
费用承担产品: FCostProductID
联系电话: FPhoneNumber
申请人: FStaffID
费用承担组织: FCostOrgID
结算方式: FSettleTypeID
预计还款日期: FRefundDate
通过网上银行支付: FIsOnlineBankPay
省（作废）: FProvince
市（作废）: FCITY
地区（作废）: FDISTRICT
账户名称: FBankAcctName
开户银行: FBankName
银行账号: FBankAccount
往来单位类型: FTOCONTACTUNITTYPE
往来单位: FTOCONTACTUNIT
付款组织: FPayOrgID
收款银行（作废）: FPayBankID
核定金额汇总(本位币): FCheckedLocAmountSum
汇率类型: FExchangeTypeID
核定金额汇总: FCheckedOrgAmountSum
本位币: FLocCurrencyID
汇率: FExchangeRate
申请金额汇总: FOrgAmountSum
修改日期: FModifyDate
作废人: FCANCELLERID
作废状态: FCancelStatus
创建人: FCreatorId
审核人: FAPPROVERID
作废日期: FCANCELDATE
审核日期: FAPPROVEDATE
修改人: FModifierId
创建日期: FCreateDate
申请组织: FOrgID
单据类型: FBillTypeID
申请金额汇总(本位币): FLocAmountSum
事由: FReason
显示本位币信息: FShowLocInfo
银行地址: FBankAddress
联行号: FBankCnaps
关闭状态: FCloseStatus
关闭人: FCloseId
关闭日期: FCloseDate
银行网点: FBankDetail
国别: FCountry
省: FNProvince
城市: FNCity
地区: FNDistrict
创建来源: FSourceBillKey
来自转移: FFromTransfer
银行账号携带: FBringAccount
可用借款余额: FAvailableLoanAmount
报销接手人: FReimbReceiver
明细信息: FEntity
实体主键: FEntryID
费用项目: FExpenseItemID
申请金额(本位币): FLocAmount
申请金额: FOrgAmount
核定金额(本位币): FCheckedLocAmount
核定金额: FCheckedOrgAmount
实际借款金额: FActualBorrowAmount
已报销金额: FReimburseAmount
已退款金额: FRefundAmount
冲销金额: FOffsetAmount
已下推报销/退款金额: FPushReimbAmount
已下推付款申请/付款金额: FPushBorrowAmount
备注: FRemark
借款余额: FTurnoverAmount
源单类型: FSourceBillType
源单编号: FSourceBillNo
源单分录ID: FSourceRowID
费用承担部门: FEntryCostDeptID
已下推报销单金额: FPUSHREIMBAMT
匹配核销金额: FAutoMatchAmount
转移金额: FTransOutAmount
关联负数报销金额: FRELATNEGTIAMT
行关闭状态: FENTRYCLOSE
项目: F_TJKT_Base_qtr
特殊备注: F_TJKT_Text_qtr
关联关系表: FEntity_Link
实体主键: FLinkId
业务流程图: FEntity_Link_FFlowId
推进路线: FEntity_Link_FFlowLineId
转换规则: FEntity_Link_FRuleId
源单表内码: FEntity_Link_FSTableId
源单表: FEntity_Link_FSTableName
源单内码: FEntity_Link_FSBillId
源单分录内码: FEntity_Link_FSId
原始携带量: FEntity_Link_FOrgAmountOld
修改携带量: FEntity_Link_FOrgAmount
