# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
结束日期: FEndDate
包含未审核单据: FNotAudit
显示本位币: FMyCurrency
起始日期: FStartDate
币别: FCurrencyIds
显示币别小计: FCurrencySubTotal
显示发生额: FInNOut
收付组织: FOrgId
结算: FSettleOrgBox
收付: FPAYORGIDBOX
结算组织: FSETTLEORGID
隶属方案: FAffiliation
显示本位币合计: FMyCurrencySum
按收付组织分项显示: FMyPayOrg
按现金账号汇总: FGroupCash
按账号查询: FAccountRadio
按组织查询: FOrgRadio
单选按钮组: FOrgOrAccount
所有现金账号: FAllCashAccount
所有银行账号: FAllBankAccount
现金账号: FCashAcctId
银行账号: FBankAccountID
显示已注销银行账号: FIsShowCancelBankAcnt
显示无业务的银行账号: FINCLUDEEMPTY
资金类别: FRowTypeName
银行: FBankName
账户名称: FBankAcctName
银行账号: FBankAcctNo
收付组织: FPAYORGNAME
内部账号名称: FINNERACCTNAME
内部账号: FINNERACCTNO
币别: FForCurrencyName
期初余额: FForLastBal
本期收入: FForTodayIn
本期支出: FForTodayOut
本期余额: FForTodayBal
币别: FLocalCurrencyName
期初余额: FLocalLastBal
本期收入: FLocalTodayIn
本期支出: FLocalTodayOut
本期余额: FLocalTodayBal
收入笔数: FInCount
支出笔数: FOutCount
