# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
结束日期: FEndDate
包含未审核单据: FNotAudit
显示本位币: FMyCurrency
起始日期: FStartDate
收付组织: FOrgID
币别: FCurrencyIds
显示本月合计: FSumMonth
显示本年累计: FSumYear
银行: FBankId
银行账号: FBankAccountID
内部账号: FINNERACCTID
结算组织: FSETTLEORGID
结算: FSettleOrgBox
隶属方案: FAffiliation
收付: FPAYORGIDBOX
复选框: FInnerPayOrgBox
收付组织: FInnerPayOrgId
内部账户: FPAYORGINNERACCTID
按收付组织分项显示: FMyPayOrg
单据编号汇总: FGROUPBILLNO
单选按钮组: FSortRadioGroup
按业务日期排序: FSortByDate
按审核日期排序: FSortByAuditDate
序号: FSeq
业务日期: FDate
审核日期: FAPPROVEDATE
单据编号: FBillNo
摘要: FDesc
制单人: FUser
币别: FForCurrencyName
收入金额: FForTodayIn
支出金额: FForTodayOut
余额: FForTodayBal
币别: FLocalCurrencyName
收入金额: FLocalTodayIn
支出金额: FLocalTodayOut
余额: FLocalTodayBal
审核人: FAuditorName
往来单位类型: FContactUnitTypeName
往来单位: FContactUnitName
收付款用途: FPurposeName
结算号: FSettleNo
结算方式: FSettleTypeName
对方银行账号: FOPPOSITEBANKACCOUNT
对方账户名称: FOPPOSITECCOUNTNAME
银行账号: FBANKACNTNAME_D
银行账号Id: FBankActId
收付组织Id: FPAYORGID_D
收付组织: FPAYORGNAME_D
银行Id: FBANKID_D
银行: FBANKNAME_D
内部账户Id: FInnerAcctId
内部账户: FInnerAcctName_D
银行账户名称: FBANKACNTNAME_NAME
内部账户名称: FINNERACCTNAME_NAME
单据类型Id: FBILLTYPEID
单据类型名称: FBILLTYPEIDNAME
