# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
基本信息: FBillHead
实体主键: FID
单据编号: FBillNo
单据状态: FDocumentStatus
销售组织: FSaleOrgId
日期: FDate
发货组织: FStockOrgId
客户: FCustomerID
发货部门: FDeliveryDeptID
销售部门: FSaleDeptID
库存组: FStockerGroupID
仓管员: FStockerID
销售组: FSalesGroupID
销售员: FSalesManID
承运商: FCarrierID
运输单号: FCarriageNO
收货方: FReceiverID
结算方: FSettleID
付款方: FPayerID
创建日期: FCreateDate
最后修改人: FModifierId
最后修改日期: FModifyDate
创建人: FCreatorId
审核人: FApproverID
审核日期: FApproveDate
作废状态: FCancelStatus
作废人: FCancellerID
作废日期: FCancelDate
单据类型: FBillTypeID
货主类型: FOwnerTypeIdHead
货主: FOwnerIdHead
业务类型: FBussinessType
收货方信息: FReceiveAddress
交货地点: FHeadLocationId
信用检查结果: FCreditCheckResult
跨组织业务类型: FTransferBizType
对应组织: FCorrespondOrgId
收货方联系人: FReceiverContactID
组织间结算跨法人标识: FIsInterLegalPerson
零售单日结生成: FGenFromPOS_CMK
联系电话: FLinkPhone
收货人姓名: FLinkMan
销售门店: FBranchId
序列号上传: FScanBox
创建日期偏移单位: FCDateOffsetUnit
创建日期偏移量: FCDateOffsetValue
交货明细执行地址(后台用): FPlanRecAddress
整单服务或费用: FIsTotalServiceOrCost
备注: FNote
拆单新单标识: FDisassemblyFlag
网店编码: FSHOPNUMBER
管易发货日期: FGYDATE
销售渠道: FSALECHANNEL
物流单号: FLogisticsNos
预设基础资料字段2: FPRESETBASE2
预设基础资料字段1: FPRESETBASE1
预设辅助资料字段1: FPRESETASSISTANT1
预设辅助资料字段2: FPRESETASSISTANT2
关联应收状态: FARStatus
项目: F_TJKT_Base_83g_re5_k79
客户许可证: F_TJKT_BaseProperty_apv
出库类型: F_TJKT_Combo_qtr
实体主键: FEntryId
结算组织: FSettleOrgID
本位币: FLocalCurrID
汇率类型: FExchangeTypeID
汇率: FExchangeRate
结算币别: FSettleCurrID
结算方式: FSettleTypeID
总成本(暂未使用): FBillCostAmount
总成本(本位币)(暂未使用): FBillCostAmount_LC
收款条件: FReceiptConditionID
金额（本位币）: FBillAmount_LC
价税合计（本位币）: FBillAllAmount_LC
税额（本位币）: FBillTaxAmount_LC
价目表: FPriceListId
税额: FBillTaxAmount
价税合计: FBillAllAmount
金额: FBillAmount
是否含税: FIsIncludedTax
跨组织结算生成: FISGENFORIOS
结算组织客户: FSETTLECustomerID
货主供应商: FOwnerSupplierID
折扣表: FDiscountListId
工作流信用超标天数: FCreChkDays
工作流信用检查状态: FCreChkStatus
工作流信用超标金额: FCreChkAmount
审批流信用压批月结检查: FCrePreBatAndMonStatus
信用压批超标: FCrePreBatchOver
信用月结超标: FCreMonControlOver
价外税: FIsPriceExcludeTax
第三方单据编号: FThirdBillNo
第三方单据平台单号: FThirdBillId
第三方系统来源: FThirdSrcType
工作流信用逾期超标额度: FCreChkOverAmount
会员名称: FBuyerNick
收货人: FReceiverName
收货人手机: FReceiverMobile
收货人国家: FReceiverCountry
收货人省份: FReceiverState
收货人城市: FReceiverCity
收货人地区: FReceiverDistrict
收货人地址: FReceiverAddress
收货人电话: FReceiverPhone
应收单业务日期: FReceivaDate
会员编码: FVIPCODE
整单折扣额: FAllDisCount
管易订单标记编码: FGYTAGCODE
管易订单标记名称: FGYTAGNAME
同步发货记录编号: FSynDeliveryNo
明细信息: FEntity
客户物料编码: FCustMatID
客户物料名称: FCustMatName
物料编码: FMaterialID
物料名称: FMaterialName
规格型号: FMateriaModel
物料类别: FMateriaType
库存单位: FUnitID
应发数量: FMustQty
实发数量: FRealQty
仓库: FStockID
库存状态: FStockStatusID
货主类型: FOwnerTypeID
货主: FOwnerID
保管者类型: FKeeperTypeID
保管者: FKeeperID
备注: FEntrynote
BOM版本: FBomID
库存基本数量: FBaseUnitQty
库存辅单位: FAuxUnitID
库存辅单位数量: FAuxUnitQty
成本价（本位币）: FCostPrice
总成本: FEntryCostAmount
总成本(本位币): FCostAmount_LC
关联退货数量: FReturnQty
累计退货通知数量: FSumRetNoticeQty
累计退货数量: FSumRetStockQty
累计开票数量(作废): FInvoicedQty
累计应收数量（销售）: FSumInvoicedQty
累计开票金额(作废): FSumInvoicedAMT
累计收款金额: FSumReceivedAMT
关联退货数量(基本单位): FBaseReturnQty
关联开票数量(基本单位)(作废): FBaseInvoicedQty
库存更新标识: FStockFlag
订单单号: FSoorDerno
辅助属性: FAuxPropId
累计退货通知数量(销售基本): FBaseSumRetNoticeQty
源单类型: FSrcType
累计退货数量(基本单位): FBaseSumRetstockQty
仓位: FStockLocID
牙博士: FF100001
生产日期: FProduceDate
有效期至: FExpiryDate
勾稽数量（作废）: FJoinedQty
未勾稽数量（作废）: FUNJOINQTY
勾稽金额（作废）: FJoinedAmount
未勾稽金额（作废）: FUnJoinAmount
完全勾稽（作废）: FFullyJoined
行勾稽状态（作废）: FJoinStatus
批号: FLot
保质期单位: FExpiryPeriodUnit
保质期: FExpiryPeriod
是否赠品: FIsFree
累计开票数量(计价基本)(作废): FBaseSumInvoicedQty
基本单位应发数量: FBaseMustQty
基本单位: FBaseUnitID
到货确认: FArrivalStatus
到货确认人: FArrivalConfirmor
检验日期: FValidateDate
检验确认: FValidateStatus
检验确认人: FValidateConfirmor
计价单位: FPriceUnitId
计价数量: FPriceUnitQty
单价: FPrice
含税单价: FTaxPrice
税组合: FTaxCombination
税率%: FEntryTaxRate
价格系数: FPriceCoefficient
系统定价: FSysPrice
最低限价: FLimitDownPrice
折前金额: FBefDisAmt
折前价税合计: FBefDisAllAmt
折扣率%: FDiscountRate
折扣额: FDiscount
金额: FAmount
金额（本位币）: FAmount_LC
税额: FEntryTaxAmount
税额（本位币）: FTaxAmount_LC
价税合计: FAllAmount
价税合计（本位币）: FAllAmount_LC
净价: FTaxNetPrice
关联应收数量（计价基本）: FBaseARJoinQty
到货日期: FArrivalDate
业务流程: FBFLowId
累计应收数量（销售基本）: FBASEARQTY
关联应收金额: FARJOINAMOUNT
累计应收金额: FARAMOUNT
服务上下文: FServiceContext
销售成本价: FSalCostPrice
源单编号: FSrcBillNo
实收数量: FActQty
关联入库数量(基本单位): FBaseJoinInStockQty
关联入库数量: FJoinInStockQty
序列号单位: FSNUnitID
序列号单位数量: FSNQty
计划跟踪号: FMtoNo
项目编号: FProjectNo
拒收数量: FRefuseQty
补货数量: FRepairQty
是否补货: FIsRepair
捡货部门: FPickDeptId
关联入库数量（辅单位）: FSECJOININSTOCKQTY
关联退货数量（辅单位）: FSECRETURNQTY
消耗汇总: FIsConsumeSum
关联应收数量: FARJoinQty
控制出库数量: FOUTCONTROL
辅单位: FExtAuxUnitId
实发数量(辅单位): FExtAuxUnitQty
零售条形码: FBarcode
门店供货价: FProPrice
供货金额: FProAmount
是否零售促销: FRetailSaleProm
当前库存: FInventoryQty
销售单位: FSalUnitID
销售数量: FSALUNITQTY
销售基本数量: FSALBASEQTY
计价基本数量: FPRICEBASEQTY
质量类型: FQualifyType
销售基本分子: FSalBaseNum
库存基本分母: FStockBaseDen
关联退货数量（库存基本）: FStockBaseReturnQty
累计退货数量（库存基本）: FStockBaseSumRetStockQty
关联应收数量（库存基本）: FStockBaseARJoinQty
携带的主业务单位: FSRCBIZUNITID
是否生成产品档案: FIsCreateProDoc
明细货主供应商: FEOwnerSupplierId
组织间结算跨法人标识: FIsOverLegalOrg
明细结算组织客户: FESettleCustomerId
关联应收数量（销售基本）: FSalBaseARJoinQty
关联入库数量（采购基本）: FPURBASEJOININSTOCKQTY
行价目表: FPriceListEntry
未关联应收数量（计价单位）: FARNOTJOINQTY
库存请检单EntryID: FQmEntryID
库存状态转换单ENTRYID: FConvertEntryID
B2C订单明细Id: FB2CORDERDETAILID
销售订单EntryId: FSOEntryId
预留锁库EntryId: FReserveEntryId
拆单数量（计价）: FDisPriceQty
拆单前原计价数量: FBeforeDisPriceQty
产品类型: FRowType
父项产品: FParentMatId
行标识: FRowId
父行标识: FParentRowId
签收数量: FSignQty
管易订单单号: FThirdEntryId
发货检验: FCheckDelivery
第三方单据ID: FETHIRDBILLID
第三方单据编号: FETHIRDBILLNO
管易是否到账: FGYFINSTATUS
管易到账时间: FGYFINDate
单价折扣: FPriceDiscount
尾差处理标识: FTailDiffFlag
冲销数量(计价基本): FWRITEOFFPRICEBASEQTY
冲销数量(销售基本): FWRITEOFFSALEBASEQTY
冲销数量(库存基本): FWRITEOFFSTOCKBASEQTY
冲销金额: FWRITEOFFAMOUNT
按子项结算: FSettleBySon
BOM分录内码: FBOMEntryId
价税合计（折前）: FAllAmountExceptDisCount
批号拣货结果标识: FLotPickFlag
管易发货时间: FGYENTERTIME
物料（销售组织）: FMaterialID_Sal
入库单编码_序号: FInStockBillno
入库单分录ID: FInStockEntryId
VMI业务: FVmiBusinessStatus
收料单编码_序号: FReceiveBillno
收料单分录ID: FReceiveEntryId
是否替代出库: FIsReplaceOut
替代原物料编码: FReplaceMaterialID
行关联应收状态: FRowARStatus
合同履约成本: FApAmount
合同履约成本(本位币): FApAmountLC
要货订单Id: FNeedOrderId
要货订单分录Id: FNeedOrderEntryId
UDI: F_TJKT_Text_qtr
别名: F_TJKT_BaseProperty_qtr
生产厂家: F_TJKT_BaseProperty_qtr1
注册证: F_TJKT_BaseProperty_re5
生产厂家许可证: F_TJKT_BaseProperty_tzk
存储条件: F_TJKT_BaseProperty_ca9
备注2: F_TJKT_Text_83g
税务明细: FTaxDetailSubEntity
实体主键: FDetailID
税率名称: FTaxRateId
税率%: FTaxRate
税额: FTaxAmount
计入成本比例%: FCostPercent
计入成本金额: FCostAmount
增值税: FVAT
卖方代扣代缴: FSellerWithholding
买方代扣代缴: FBuyerWithholding
序列号子单据体: FSerialSubEntity
序列号: FSerialNo
序列号: FSerialId
备注: FSerialNote
SN: FSN
IMEI1: FIMEI1
IMEI2: FIMEI2
MEID: FMEID
下推退货通知标识: FPushReturnNotice
物流跟踪明细: FOutStockTrace
物流公司: FLogComId
物流单号: FCarryBillNo
物流状态: FTraceStatus
发货时间: FDelTime
寄件人手机号码: FPhoneNumber
起始地点: FFrom
终止地点: FTo
签收时间: FReceiptTime
类型: FCarryBillNoType
物流详细信息: FOutStockTraceDetail
时间: FTraceTime
物流详情: FTraceDetail
关联关系表: FEntity_Link
实体主键: FLinkId
业务流程图: FEntity_Link_FFlowId
推进路线: FEntity_Link_FFlowLineId
转换规则: FEntity_Link_FRuleId
源单表内码: FEntity_Link_FSTableId
源单表: FEntity_Link_FSTableName
源单内码: FEntity_Link_FSBillId
源单分录内码: FEntity_Link_FSId
原始携带量: FEntity_Link_FBaseUnitQtyOld
修改携带量: FEntity_Link_FBaseUnitQty
原始携带量: FEntity_Link_FSALBASEQTYOld
修改携带量: FEntity_Link_FSALBASEQTY
原始携带量: FEntity_Link_FPRICEBASEQTYOld
修改携带量: FEntity_Link_FPRICEBASEQTY
原始携带量: FEntity_Link_FAuxUnitQtyOld
修改携带量: FEntity_Link_FAuxUnitQty
迁移图: FEntity_Link_FLnkTrackerId
上游状态: FEntity_Link_FLnkSState
数量FLnk: FEntity_Link_FLnkAmount
迁移图: FEntity_Link_FLnk1TrackerId
上游状态: FEntity_Link_FLnk1SState
数量FLnk1: FEntity_Link_FLnk1Amount
