# 金蝶云星空只读字段映射
# 格式：中文字段名: 字段Key
单据状态: FFormStatus
至: FMaterialTo
至: FCustomerTo
销售部门: FSaleDeptFrom
客户: FCustomerFrom
币别: FMoneyType
终止日期: FEndDate
销售组织: FSaleOrgId
起始日期: FStartDate
物料: FMaterialFrom
至: FSaleDeptTo
包含服务类物料: FIsIncludeSerMat
统计套件: FSuite
结算组织: FSettleOrgList
销售组织: FSALEORGNAME
结算组织: FSETTLEORGNAME
编号: FBILLNO
单据类型: FBILLTYPENAME
日期: FDate
销售部门: FDEPTNAME
销售组: FSALEGROUP
销售员: FSALESNAME
客户编码: FCUSTOMERID
客户名称: FCUSTOMERNAME
客户分组: FCustGroupName
行号: FSEQ
物料编码: FMATERIALID
物料名称: FMATERIALNAME
客户物料编码: FMAPID
客户物料名称: FMAPNAME
规格型号: FSPECIFICATION
物料属性: FERPCLSID
物料分组: FMATERIALGROUPNAME
存货类别: FCATEGORYID
辅助属性: FAUXPROPID
计划跟踪号: FMTONO
币别: FCURRENCYID
库存单位: FUNIT
数量: FREALQTY
单价: FPrice
计价单位: FPRICEUNIT
单价（计价单位）: FCharge
数量（计价单位）: FCHARGEQTY
金额: FALLAMOUNT
仓库: FSTOCKNAME
仓位: FSTOCKLOCID
批号: FLOTNAME
是否赠品: FISFREE
备注: FENTRYNOTE
应收单号: FRECEIVEBILLNO
应收业务日期: FARDate
应收立账类型: FSetAccountType
应收数量: FRECQTY
应收数量（计价单位）: FRECEIVECHARGEQTY
应收金额: FRECAMOUNT
调整金额: FWriteOffAmount
发票单据编号: FINVOECEBILLNO
发票号码: FINVOECENO
发票日期: FINVOECEDATE
开票数量: FINVOECEQTY
开票数量（计价单位）: FBILLCHARGEQTY
开票金额: FINVOECEAMOUNT
收款单号: FRECBILLNO
收款单日期: FRECBILLDATE
结算金额: FRECEIPTAMOUNT
结算调整金额: FJSWRITEOFFAMOUNT
特殊冲销金额: FChargeOffAmount
收款核销金额: FRECSKAMOUNT
基本单位: FBaseUnitID
单价(基本单位): FBasePrice
应收数量(基本单位): FReceiveQty
开票数量(基本单位): FBaseInvoiceQty
订单单号: FSOORDERNO
