"","id","trait","ncase","group_name","year","author","consortium","sex","pmid","population","unit","sample_size","build","ncontrol","category","subcategory","ontology","note","mr","nsnp","doi","coverage","study_design","priority","sd"
"1","ieu-b-5103","Schizophrenia",1234,"public",2022,"Trubetskoy V","PGC","Males and Females",35396580,"Hispanic or Latin American","logOR",4324,"HG19/GRCh37",3090,"Disease","NA","MONDO:0005090",NA,NA,NA,NA,NA,NA,NA,NA
"2","ieu-b-5102","Schizophrenia",52017,"public",2022,"Trubetskoy V","PGC","Males and Females",35396580,"European","logOR",127906,"HG19/GRCh37",75889,"Disease","NA","MONDO:0005090",NA,NA,NA,NA,NA,NA,NA,NA
"3","ieu-b-5101","Schizophrenia",12305,"public",2022,"Trubetskoy V","PGC","Males and Females",35396580,"East Asian","logOR",27363,"HG19/GRCh37",15058,"Disease","NA","MONDO:0005090",NA,NA,NA,NA,NA,NA,NA,NA
"4","ieu-b-5100","Schizophrenia",64322,"public",2022,"Trubetskoy V","PGC","Males and Females",35396580,"Mixed","logOR",155269,"HG19/GRCh37",90947,"Disease","NA","MONDO:0005090","Core - East Asian and European meta analysis",NA,NA,NA,NA,NA,NA,NA
"5","ieu-b-5099","Schizophrenia",76755,"public",2022,"Trubetskoy V","PGC","Males and Females",35396580,"Mixed","logOR",320404,"HG19/GRCh37",243649,"Disease","NA","MONDO:0005090","Primary - meta analysis of Eur, East Asian, African American and Latino",NA,NA,NA,NA,NA,NA,NA
"6","ieu-b-5098","Schizophrenia",5998,"public",2022,"Trubetskoy V","PGC","Males and Females",35396580,"African American or Afro-Caribbean","logOR",9824,"HG19/GRCh37",3826,"Disease","NA","MONDO:0005090",NA,NA,NA,NA,NA,NA,NA,NA
"7","ieu-b-5075","Systolic blood pressure",NA,"public",2021,"Sakaue et al.",NA,"Males and Females",34594039,"East Asian","mmHg",145505,"HG19/GRCh37",NA,"Risk factor","Blood pressure","NA","NA",1,13230376,NA,NA,NA,NA,NA
"8","ieu-b-5122","Number of Children ever Born (NEB)",NA,"public",2023,"Mathieson","eQTLGen;BIOS","Males and Females",NA,"European",NA,785604,"HG19/GRCh37",NA,"NA","NA",NA,NA,NA,15360087,"10.1038/s41562-023-01528-6",NA,NA,NA,NA
"9","ieu-b-5117","Adult BMI females",NA,"public",2020,"Richardson",NA,"Females",NA,"European","kg/m^2",246511,"HG19/GRCh37",NA,"Continuous","Anthropometric","EFO:0004340",NA,NA,NA,"10.1136/bmj.m1203",NA,NA,NA,NA
"10","ieu-b-5118","Adult BMI sex-combined",NA,"public",2020,"Richardson",NA,"Males and Females",NA,"European","kg/m^2",453169,"HG19/GRCh37",NA,"Continuous","Anthropometric","EFO:0004340",NA,NA,NA,"10.1136/bmj.m1203",NA,NA,NA,NA
"11","ieu-b-5116","Psoriatic arthritis",5065,"public",2022,"M Soomro",NA,"Males and Females",NA,"European","log odds ratio",26351,"HG19/GRCh37",21286,"Binary","Autoimmune / inflammatory","EFO:0003778;DOID:9008;ICD9CM:696.0;MONDO:0011849;MedDRA:10037160;NCIT:C61277;OMIM:607507;UMLS:C0003872","All, seropositive and seronegative individuals",NA,NA,"10.1002/art.42154",NA,NA,NA,NA
"12","ieu-b-5115","ferritin",NA,"public",2021,"Bell",NA,"Males and Females",NA,"European","sd",246139,"HG19/GRCh37",NA,"Continuous","Haemotological","NA",NA,NA,NA,"10.1038/s42003-020-01575-z",NA,NA,NA,NA
"13","ieu-b-5121","Left ventricular ejection fraction",NA,"public",2024,"Q Yang","MRC-IEU","Males",NA,"European","percent",17899,"HG19/GRCh37",NA,"Continuous","Cardiovascular","NA",NA,NA,NA,NA,NA,NA,NA,NA
"14","ieu-b-5120","Left ventricular ejection fraction",NA,"public",2024,"Q Yang","MRC-IEU","Females",NA,"European","percent",19467,"HG19/GRCh37",NA,"Continuous","Cardiovascular","NA",NA,NA,NA,NA,NA,NA,NA,NA
"15","ubm-b-999","aparc-a2009s_rh_area_S-front-sup",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27604 Area of S-front-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"16","ubm-b-998","aparc-a2009s_rh_area_S-front-middle",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27603 Area of S-front-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"17","ubm-b-997","aparc-a2009s_rh_area_S-front-inf",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27602 Area of S-front-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"18","ubm-b-996","aparc-a2009s_rh_area_S-collat-transv-post",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31966,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27601 Area of S-collat-transv-post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"19","ubm-b-995","aparc-a2009s_rh_area_S-collat-transv-ant",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27600 Area of S-collat-transv-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"20","ubm-b-994","aparc-a2009s_rh_area_S-circular-insula-sup",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31967,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27599 Area of S-circular-insula-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"21","ubm-b-993","aparc-a2009s_rh_area_S-circular-insula-inf",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27598 Area of S-circular-insula-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"22","ubm-b-992","aparc-a2009s_rh_area_S-circular-insula-ant",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31966,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27597 Area of S-circular-insula-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"23","ubm-b-991","aparc-a2009s_rh_area_S-cingul-Marginalis",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27596 Area of S-cingul-Marginalis in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"24","ubm-b-990","aparc-a2009s_rh_area_S-central",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27595 Area of S-central in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"25","ubm-b-99","IDP_T1_FAST_ROIs_R_temp_fusif_cortex_ant",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,33219,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 25855 Volume of grey matter in Right Temporal Fusiform Cortex, anterior division",1,17103079,NA,NA,NA,NA,NA
"26","ubm-b-989","aparc-a2009s_rh_area_S-calcarine",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27594 Area of S-calcarine in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"27","ubm-b-988","aparc-a2009s_rh_area_Pole-temporal",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27593 Area of Pole-temporal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"28","ubm-b-987","aparc-a2009s_rh_area_Pole-occipital",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27592 Area of Pole-occipital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"29","ubm-b-986","aparc-a2009s_rh_area_Lat-Fis-post",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27591 Area of Lat-Fis-post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"30","ubm-b-985","aparc-a2009s_rh_area_Lat-Fis-ant-Vertical",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31952,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27590 Area of Lat-Fis-ant-Vertical in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"31","ubm-b-984","aparc-a2009s_rh_area_Lat-Fis-ant-Horizont",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31966,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27589 Area of Lat-Fis-ant-Horizont in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"32","ubm-b-983","aparc-a2009s_rh_area_G-temporal-middle",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27588 Area of G-temporal-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
"33","ubm-b-982","aparc-a2009s_rh_area_G-temporal-inf",NA,"public",2021,"Elliott LT","NA","Males and Females",33875891,"European",NA,31968,"HG19/GRCh37",NA,"NA","NA",NA,"UKB 27587 Area of G-temporal-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation",1,17103079,NA,NA,NA,NA,NA
