id,position,company_name,company_type,salary_range,salary_monthly_low,salary_monthly_high,months,annual_salary_low,annual_salary_high,annual_salary_avg,location,experience,education,source,collect_date,source_type,weight,quality
1,财务总监,集团企业,大型企业,30-50K·13薪,30000,50000,13,390000.0,650000.0,520000.0,深圳,10年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
2,财务总监,中型企业,民营企业,50-80K·15薪,50000,80000,15,750000.0,1200000.0,975000.0,深圳,10年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
3,财务总监,大型企业,大型企业,60-90K·13薪,60000,90000,13,780000.0,1170000.0,975000.0,深圳,10年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
4,财务总监,猎头岗位,民营企业,70-100K·15薪,70000,100000,15,1050000.0,1500000.0,1275000.0,深圳,10年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
5,财务总监-高端穿戴消费品,出海头部企业,外资企业,900-1100K年薪,75000,91667,12,900000.0,1100000.0,1000000.0,深圳,10年以上,本科,Michael Page,2026-04-10,其他,0.9,0.75
6,财务总监-消费品出海,头部企业,民营企业,100-130万,83333,108333,12,1000000.0,1300000.0,1150000.0,深圳,10年以上,本科,Michael Page,2026-04-10,其他,0.9,0.75
7,财务总监-农业科技,农业企业,民营企业,55-75K,55000,75000,12,660000.0,900000.0,780000.0,深圳,10年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
8,集团财务总监,集团公司,大型企业,30-50K·13薪,30000,50000,13,390000.0,650000.0,520000.0,深圳,8年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
9,财务总监-奢侈品,奢侈品行业,外资企业,60-80K,60000,80000,12,720000.0,960000.0,840000.0,深圳,10年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
10,财务总监,行业平均,行业平均,26.6-39K,26600,39000,12,319200.0,468000.0,393600.0,深圳,5-10年,本科,知乎报告,2026-03-04,论坛,0.8,0.7
11,财务总监-国企,国有企业,国有企业,年薪制,43970,43970,12,527634.0,527634.0,527634.0,深圳,10年以上,本科,上市公司公告,2026-03-31,其他,0.9,0.75
12,CFO首席财务官,具身智能,科技企业,100-200K,100000,200000,15,1500000.0,3000000.0,2250000.0,深圳,15年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
13,CFO首席财务官,科技企业,科技企业,50-80K·15薪,50000,80000,15,750000.0,1200000.0,975000.0,深圳,10年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
14,CFO首席财务官,科技企业,科技企业,65-80K·15薪,65000,80000,15,975000.0,1200000.0,1087500.0,深圳,10年以上,本科,猎聘,2026-04-10,招聘网站,1.0,0.9
