name,IR,q1,q10,spread,slope,trend,agree,n,global,best30,improve,curve
ANOM_SKEW,-0.5496,0.060488638,0.0069966163,-0.05349202,-0.003865117765963078,降,True,67146,0.017790593,0.03360345,0.015812855,+6.0 +2.0 +2.0 +1.6 +1.4 +1.4 +0.9 +0.8 +1.0 +0.7
VWAP55,0.5579,-0.010843514,0.03546733,0.046310846,0.0027690128564383048,升,True,67949,0.01755486,0.023446217,0.0058913566,-1.1 +1.3 +1.7 +2.0 +2.2 +2.5 +2.0 +1.5 +2.0 +3.5
VOLUME59,0.6638,-0.014999705,0.029739188,0.044738892,0.004283629665433458,升,True,67354,0.017676435,0.030170253,0.012493817,-1.5 +0.5 +1.2 +1.7 +1.9 +2.4 +2.5 +2.9 +3.1 +3.0
VWAP31,0.4612,-0.0031185616,0.03932751,0.04244607,0.0036179590800946406,升,True,70314,0.016835708,0.029739201,0.012903493,-0.3 +1.0 +1.0 +1.2 +1.3 +1.8 +2.0 +2.2 +2.8 +3.9
VSUMP60,-0.6536,0.025047997,-0.0077055027,-0.0327535,-0.0036524645447956767,降,True,67146,0.017790593,0.028425189,0.0106345955,+2.5 +3.0 +3.0 +2.6 +2.6 +1.6 +1.5 +1.3 +0.5 -0.8
CORD60,-0.5017,0.036900546,0.0059700445,-0.030930502,-0.0031864458553944566,降,True,67146,0.017790593,0.029666277,0.011875683,+3.7 +2.9 +2.3 +2.1 +1.8 +1.4 +1.3 +1.1 +0.6 +0.6
VOLUME44,0.6812,-0.0053689163,0.025308501,0.030677417,0.0026755848447933346,升,True,69093,0.016920278,0.024070133,0.0071498547,-0.5 +0.9 +1.5 +1.8 +1.8 +2.1 +2.2 +2.2 +2.5 +2.5
CORREL20,-0.6149,0.033227514,0.003092338,-0.030135177,-0.002785699813146935,降,True,70920,0.01714557,0.026730519,0.009584948,+3.3 +2.8 +1.9 +1.9 +1.9 +1.5 +1.2 +1.5 +0.7 +0.3
ANOM_IDIOVOL,-0.4518,0.01608187,-0.013694529,-0.029776398,-0.002488754849852712,降,True,31979,0.007678213,0.013185553,0.00550734,+1.6 +1.4 +0.9 +1.6 +1.1 +0.9 +1.1 +0.3 +0.1 -1.4
Alpha#44,0.8564,0.0037566472,0.03329801,0.02954136,0.0026961097366769203,升,True,70919,0.01714489,0.026577352,0.009432461,+0.4 +1.0 +0.9 +1.4 +1.9 +2.0 +1.6 +1.9 +2.7 +3.3
