彩种,期号,开奖日期,号码1,号码2,号码3,号码4,号码5,号码6,号码7,奖池(亿),销量(亿)
大乐透,25001,2026-01-03,05,12,19,26,33,03,10,9.62,2.85
大乐透,25002,2026-01-06,02,08,15,22,31,05,12,9.15,2.91
大乐透,25003,2026-01-08,07,11,18,24,30,04,09,8.88,2.78
大乐透,25004,2026-01-10,03,09,16,25,35,06,11,10.21,3.02
大乐透,25005,2026-01-13,04,13,20,27,29,02,08,9.45,2.95
大乐透,25006,2026-01-15,06,10,17,23,28,07,12,8.76,2.83
大乐透,25007,2026-01-17,01,14,21,30,34,03,09,11.32,3.15
大乐透,25008,2026-01-20,08,12,22,25,32,05,10,10.87,3.08
大乐透,25009,2026-01-22,03,15,18,28,31,04,07,9.98,2.96
大乐透,25010,2026-01-24,07,09,20,24,35,06,08,10.54,3.11
大乐透,25011,2026-01-27,02,11,16,26,30,03,12,9.33,2.89
大乐透,25012,2026-01-29,05,08,19,27,33,05,09,11.15,3.22
大乐透,25013,2026-01-31,01,10,17,21,34,02,11,10.42,3.05
大乐透,25014,2026-02-03,06,13,22,29,31,04,10,9.67,2.92
大乐透,25015,2026-02-05,04,07,18,23,35,06,09,10.88,3.18
大乐透,25016,2026-02-07,03,12,15,28,32,05,08,11.23,3.25
大乐透,25017,2026-02-10,08,14,20,25,30,07,11,10.15,3.01
大乐透,25018,2026-02-12,02,09,16,24,33,03,12,9.78,2.94
大乐透,25019,2026-02-14,05,11,19,22,35,04,07,10.56,3.09
大乐透,25020,2026-02-17,07,10,18,27,31,06,10,9.88,2.97
