彩种,期号,开奖日期,号码1,号码2,号码3
排列3,26150,2026-06-15,1,5,8
排列3,26151,2026-06-16,3,3,7
排列3,26152,2026-06-17,0,9,2
排列3,26153,2026-06-18,6,2,5
排列3,26154,2026-06-19,4,4,8
排列3,26155,2026-06-20,2,7,1
排列3,26156,2026-06-21,8,0,6
排列3,26157,2026-06-22,5,3,9
排列3,26158,2026-06-23,7,1,4
排列3,26159,2026-06-24,9,6,3
排列3,26160,2026-06-25,2,5,0
排列3,26161,2026-06-26,8,8,2
排列3,26162,2026-06-27,4,7,6
排列3,26163,2026-06-28,1,0,3
排列3,26164,2026-06-29,6,4,5
排列3,26165,2026-06-30,3,9,7
排列3,26166,2026-07-01,0,2,8
排列3,26167,2026-07-02,5,6,1
排列3,26168,2026-07-03,9,4,2
排列3,26169,2026-07-04,7,5,0
