name,address
上海通韵汽车检测服务有限公司,上海市关港路2号一幢
上海劲捷车业有限公司,宝山区真大路450弄6号
上海盈江机动车检测有限公司,浦东新区曹路镇民秋路567号
上海宝山浙实汽车检测有限公司,宝山区长江西路850号
上海言鹏实业有限公司,嘉定区申霞路335号
上海通亮机动车安全检测服务有限公司,金山区金山卫镇新卫路768号5幢
上海市奉贤区沪鹰机动车安全检测有限公司,上海市奉贤区南桥镇沪杭公路1799号
上海金球汽车维修有限责任公司,上海市闵行区沁春路699号
上海浦东机动车检测维修中心有限公司,浦东行南路601号
上海浓银实业有限公司,浦东新区宣桥镇南六公路1125弄30号2幢
上海紫旺机动车检测有限公司,青浦区沪青平公路3828弄99号
上海家程机动车检测有限公司,奉贤区环城北路民村路151号4幢
上海程晟汽车综合性能检测有限公司,青浦区外青松公路5399号A1号
上海正悦机动车检测有限公司,浦东新区航头镇航都路39号3幢
上海新远机动车检测有限公司,嘉定区丰饶路700号1幢A区
上海达圣机动车检测有限公司,嘉定区马陆镇嘉新公路1123号
上海成效汽车检测有限公司,上海市松江区光华路601号3幢1层101室
上海仕逸汽车服务有限公司,中国（上海）自由贸易试验区美盛路168号北楼1层N104
上海都杰汽车服务有限公司,浦东新区航头镇航都路27号-1
上海轶祥机动车检测有限公司,宝山区共和新路5252号
上海宝山区机动车辆检测维修有限公司,上海市宝杨路2058号
上海下沙机动车检测有限公司,上海市浦东新区沪南公路4828号
上海金洙机动车检测有限公司,上海市金山区亭枫公路3238号
上海浦发交实经济发展有限公司,上海市浦东新区惠南镇沪南路9845号
上海春胜汽车检测有限公司,闵行区春申路2328号5幢一层
上海嘉明机动车检测有限公司,嘉定区南翔镇丰翔支路88号3幢
上海德忠机动车检测服务有限公司,青浦区北青公路3588号、3638号
上海恒通机动车检测服务有限公司,嘉定区马陆镇科盛路1000号1幢2层
上海新浓汽车科技有限公司,杨浦区军工路1488号（院内）
上海兴中宏车汽车检测有限公司,上海市浦东新区金桥镇金高路1510号1幢
上海秀之坊实业有限公司,浦东新区万祥镇三三公路2729号
上海鑫渊汽车检测维修有限公司,奉贤区南桥镇沪杭公路1778号
上海志隆机动车检测有限公司,奉贤区华松路718弄199号1幢
上海莘高汽车检测有限公司,上海市闵行区顾戴路3318号（西会）4幢101室
上海珊考机动车检测维修服务有限公司,上海市浦东新区康桥镇浦三路3633号
上海华泰机动车检测维修有限公司,上海市普陀区千阳路333号
上海培新汽车检测服务有限公司,闵行区江川路2001号
上海松东机动车安全检测有限公司,松江区松东路337号
上海永达机动车安全检测中心有限公司,浦东龙东大道金丰路99号
上海嘉定汽车检测有限公司,上海市嘉定区嘉安公路2599号
上海南郊机动车安全检测有限公司,上海市奉贤区南桥镇沪杭公路2142号
上海联申机动车检测有限公司,上海市闵行区联友路2688弄1幢
上海锦罗机动车检测有限公司,宝山区月罗路2728号4幢108室-115室
上海润广机动车检测有限公司,奉贤区奉村路28号24幢1层
上海锦杨汽车检测有限公司,静安区江杨南路2号10幢
上海新鑫机动车检测有限公司,松江区车墩镇香闵路601号5幢101室
上海欣联机动车检测有限公司,嘉定区南翔镇新勤路159号1幢1层C区
上海御康机动车检测有限公司,浦东新区康桥路888号2幢
上海闵跃机动车服务有限公司,闵行区浦江镇立跃路2989号
上海赟行实业有限公司,上海市青浦区徐泾镇徐龙路150号
上海昶欣机动车技术服务有限公司,上海市松江区洞泾镇沪松公路3488号
上海齐鑫机动车检测有限公司,上海市奉贤区金汇工业路528号1幢
上海博锦机动车检测服务有限公司,宝山区沪太路6200号8幢、9幢
上海交运汽车检测服务有限公司,杨浦区内江路301号
上海纵安机动车检测服务有限公司,上海市浦东新区上川路1515号
上海市纺织运输有限公司汽车修造厂,杨浦区杨树浦路2301号
