在这里给大家整理了目前各家券商支持 QMT 的情况，如下表：

其中资金门槛分级的大致对应关系：
低：无门槛或 10 万以下的资金门槛
中：30 万-50 万的资金门槛
高：100 万以上的资金门槛
具体内容需要咨询对应券商的服务人员。

序号	客户名称	门槛高低	对外名称
1	大同证券	低	
2	德邦证券	低	
3	第一创业证券	低	
4	东亚前海证券	低	
5	国金证券	低	
6	国信证券	低	国信 iquant 精简版，申请时需单独说明
7	高华证券	低	
8	华金证券	低	
9	华鑫证券	低	
10	世纪证券	低	
11	万和证券	低	
12	万联证券	低	
13	五矿证券	低	
14	中邮证券	低	
15	爱建证券	中	
16	财达证券	中	
17	财信证券	中	
18	长城证券	中	GWT 策略交易终端
19	东北证券	中	NET 极速策略交易终端
20	东方证券	中	
21	东莞证券	中	
22	东兴证券	中	
23	方正证券	中	
24	国海证券	中	
25	国联证券	中	
26	国融证券	中	
27	国盛证券	中	
28	国泰海通证券	中	
29	国投（安信）证券	中	ACT 核心客户极速策略交易终端
30	国元证券	中	
31	恒泰证券	中	
32	红塔证券	中	红塔智越增强版网上交易系统
33	宏信证券	中	
34	华龙证券	中	
35	华兴证券	中	
36	江海证券	中	
37	金元证券	中	
38	金圆统一证券	中	
39	九州证券	中	
40	联储证券	中	
41	民生证券	中	
42	申港证券	中	
43	首创证券	中	
44	天风证券	中	
45	湘财证券	中	
46	浙商证券	中	
47	中航证券	中	
48	中金财富证券	中	
49	中信证券	中	
50	中原证券	中	
51	渤海证券	高	
52	财通证券	高	
53	东方财富证券	高	
54	东海证券	高	
55	东吴证券	高	
56	光大证券	高	金阳光 QMT
57	广发证券	高	
58	国新证券	高	
59	华安证券	高	
60	华宝证券	高	
61	华福证券	高	
62	华西证券	高	
63	麦高证券	高	
64	南京证券	高	南京 NXT 极速策略交易系统
65	平安证券	高	
66	山西证券	高	
67	上海证券	高	
68	申万宏源证券	高	
69	太平洋证券	高	
70	西部证券	高	西部宽客平台
71	西南证券	高	机慧易极速交易平台
72	信达证券	高	
73	兴业证券	高	兴业 SMT-Q
74	野村东方国际证券	高	
75	银泰证券	高	
76	粤开证券	高	
77	长江证券	高	CQT 极速量化交易系统
78	招商证券	高	
79	中国银河证券	高	
80	中泰证券	高	
81	中天证券	高	
82	中信建投证券	高	
83	中银国际证券	高	
84	中国国际金融	高	（仅针对机构投资者开放）
