公历日期,农历信息,农历年,农历月,农历日,年干支,月干支,日干支,节气,,,,,,,,,,,
2026/1/1,乙巳年十一月 十三日 戊子月 乙亥日,乙巳年,十一月,十三,乙巳,戊子,乙亥,,,,,,,,,,,,
2026/1/2,乙巳年十一月 十四日 戊子月 丙子日,乙巳年,十一月,十四,乙巳,戊子,丙子,,,,,,,,,,,,
2026/1/3,乙巳年十一月 十五日 戊子月 丁丑日,乙巳年,十一月,十五,乙巳,戊子,丁丑,,,,,,,,,,,,
2026/1/4,乙巳年十一月 十六日 戊子月 戊寅日,乙巳年,十一月,十六,乙巳,戊子,戊寅,,,,,,,,,,,,
2026/1/5,乙巳年十一月 十七日 己丑月 己卯日 小寒,乙巳年,十一月,十七,乙巳,己丑,己卯,小寒,,,,,,,,,,,
2026/1/6,乙巳年十一月 十八日 己丑月 庚辰日,乙巳年,十一月,十八,乙巳,己丑,庚辰,,,,,,,,,,,,
2026/1/7,乙巳年十一月 十九日 己丑月 辛巳日,乙巳年,十一月,十九,乙巳,己丑,辛巳,,,,,,,,,,,,
2026/1/8,乙巳年十一月 二十日 己丑月 壬午日,乙巳年,十一月,二十,乙巳,己丑,壬午,,,,,,,,,,,,
2026/1/9,乙巳年十一月 廿一日 己丑月 癸未日,乙巳年,十一月,廿一,乙巳,己丑,癸未,,,,,,,,,,,,
2026/1/10,乙巳年十一月 廿二日 己丑月 甲申日,乙巳年,十一月,廿二,乙巳,己丑,甲申,,,,,,,,,,,,
2026/1/11,乙巳年十一月 廿三日 己丑月 乙酉日,乙巳年,十一月,廿三,乙巳,己丑,乙酉,,,,,,,,,,,,
2026/1/12,乙巳年十一月 廿四日 己丑月 丙戌日,乙巳年,十一月,廿四,乙巳,己丑,丙戌,,,,,,,,,,,,
2026/1/13,乙巳年十一月 廿五日 己丑月 丁亥日,乙巳年,十一月,廿五,乙巳,己丑,丁亥,,,,,,,,,,,,
2026/1/14,乙巳年十一月 廿六日 己丑月 戊子日,乙巳年,十一月,廿六,乙巳,己丑,戊子,,,,,,,,,,,,
2026/1/15,乙巳年十一月 廿七日 己丑月 己丑日,乙巳年,十一月,廿七,乙巳,己丑,己丑,,,,,,,,,,,,
2026/1/16,乙巳年十一月 廿八日 己丑月 庚寅日,乙巳年,十一月,廿八,乙巳,己丑,庚寅,,,,,,,,,,,,
2026/1/17,乙巳年十一月 廿九日 己丑月 辛卯日,乙巳年,十一月,廿九,乙巳,己丑,辛卯,,,,,,,,,,,,
2026/1/18,乙巳年十一月 三十日 己丑月 壬辰日,乙巳年,十一月,三十,乙巳,己丑,壬辰,,,,,,,,,,,,
2026/1/19,乙巳年腊月 初一日 己丑月 癸巳日,乙巳年,腊月,初一,乙巳,己丑,癸巳,,,,,,,,,,,,
2026/1/20,乙巳年腊月 初二日 己丑月 甲午日 大寒,乙巳年,腊月,初二,乙巳,己丑,甲午,大寒,,,,,,,,,,,
2026/1/21,乙巳年腊月 初三日 己丑月 乙未日,乙巳年,腊月,初三,乙巳,己丑,乙未,,,,,,,,,,,,
2026/1/22,乙巳年腊月 初四日 己丑月 丙申日,乙巳年,腊月,初四,乙巳,己丑,丙申,,,,,,,,,,,,
2026/1/23,乙巳年腊月 初五日 己丑月 丁酉日,乙巳年,腊月,初五,乙巳,己丑,丁酉,,,,,,,,,,,,
2026/1/24,乙巳年腊月 初六日 己丑月 戊戌日,乙巳年,腊月,初六,乙巳,己丑,戊戌,,,,,,,,,,,,
2026/1/25,乙巳年腊月 初七日 己丑月 己亥日,乙巳年,腊月,初七,乙巳,己丑,己亥,,,,,,,,,,,,
2026/1/26,乙巳年腊月 初八日 己丑月 庚子日,乙巳年,腊月,初八,乙巳,己丑,庚子,,,,,,,,,,,,
2026/1/27,乙巳年腊月 初九日 己丑月 辛丑日,乙巳年,腊月,初九,乙巳,己丑,辛丑,,,,,,,,,,,,
2026/1/28,乙巳年腊月 初十日 己丑月 壬寅日,乙巳年,腊月,初十,乙巳,己丑,壬寅,,,,,,,,,,,,
2026/1/29,乙巳年腊月 十一日 己丑月 癸卯日,乙巳年,腊月,十一,乙巳,己丑,癸卯,,,,,,,,,,,,
2026/1/30,乙巳年腊月 十二日 己丑月 甲辰日,乙巳年,腊月,十二,乙巳,己丑,甲辰,,,,,,,,,,,,
2026/1/31,乙巳年腊月 十三日 己丑月 乙巳日,乙巳年,腊月,十三,乙巳,己丑,乙巳,,,,,,,,,,,,
2026/2/1,乙巳年腊月 十四日 己丑月 丙午日,乙巳年,腊月,十四,乙巳,己丑,丙午,,,,,,,,,,,,
2026/2/2,乙巳年腊月 元宵日 己丑月 丁未日,乙巳年,腊月,元宵,乙巳,己丑,丁未,,,,,,,,,,,,
2026/2/3,乙巳年腊月 十六日 己丑月 戊申日,乙巳年,腊月,十六,乙巳,己丑,戊申,,,,,,,,,,,,
2026/2/4,乙巳年腊月 十七日 庚寅月 己酉日 立春,乙巳年,腊月,十七,丙午,庚寅,己酉,立春,,,,,,,,,,,
2026/2/5,丙午年腊月 十八日 庚寅月 庚戌日,丙午年,腊月,十八,丙午,庚寅,庚戌,,,,,,,,,,,,
2026/2/6,丙午年腊月 十九日 庚寅月 辛亥日,丙午年,腊月,十九,丙午,庚寅,辛亥,,,,,,,,,,,,
2026/2/7,丙午年腊月 二十日 庚寅月 壬子日,丙午年,腊月,二十,丙午,庚寅,壬子,,,,,,,,,,,,
2026/2/8,丙午年腊月 廿一日 庚寅月 癸丑日,丙午年,腊月,廿一,丙午,庚寅,癸丑,,,,,,,,,,,,
2026/2/9,丙午年腊月 廿二日 庚寅月 甲寅日,丙午年,腊月,廿二,丙午,庚寅,甲寅,,,,,,,,,,,,
2026/2/10,丙午年腊月 廿三日 庚寅月 乙卯日,丙午年,腊月,廿三,丙午,庚寅,乙卯,,,,,,,,,,,,
2026/2/11,丙午年腊月 廿四日 庚寅月 丙辰日,丙午年,腊月,廿四,丙午,庚寅,丙辰,,,,,,,,,,,,
2026/2/12,丙午年腊月 廿五日 庚寅月 丁巳日,丙午年,腊月,廿五,丙午,庚寅,丁巳,,,,,,,,,,,,
2026/2/13,丙午年腊月 廿六日 庚寅月 戊午日,丙午年,腊月,廿六,丙午,庚寅,戊午,,,,,,,,,,,,
2026/2/14,丙午年腊月 廿七日 庚寅月 己未日,丙午年,腊月,廿七,丙午,庚寅,己未,,,,,,,,,,,,
2026/2/15,丙午年腊月 廿八日 庚寅月 庚申日,丙午年,腊月,廿八,丙午,庚寅,庚申,,,,,,,,,,,,
2026/2/16,丙午年腊月 廿九日 庚寅月 辛酉日,丙午年,腊月,廿九,丙午,庚寅,辛酉,,,,,,,,,,,,
2026/2/17,丙午年正月 初一日 庚寅月 壬戌日,丙午年,正月,初一,丙午,庚寅,壬戌,,,,,,,,,,,,
2026/2/18,丙午年正月 初二日 庚寅月 癸亥日 雨水,丙午年,正月,初二,丙午,庚寅,癸亥,雨水,,,,,,,,,,,
2026/2/19,丙午年正月 初三日 庚寅月 甲子日,丙午年,正月,初三,丙午,庚寅,甲子,,,,,,,,,,,,
2026/2/20,丙午年正月 初四日 庚寅月 乙丑日,丙午年,正月,初四,丙午,庚寅,乙丑,,,,,,,,,,,,
2026/2/21,丙午年正月 初五日 庚寅月 丙寅日,丙午年,正月,初五,丙午,庚寅,丙寅,,,,,,,,,,,,
2026/2/22,丙午年正月 初六日 庚寅月 丁卯日,丙午年,正月,初六,丙午,庚寅,丁卯,,,,,,,,,,,,
2026/2/23,丙午年正月 初七日 庚寅月 戊辰日,丙午年,正月,初七,丙午,庚寅,戊辰,,,,,,,,,,,,
2026/2/24,丙午年正月 初八日 庚寅月 己巳日,丙午年,正月,初八,丙午,庚寅,己巳,,,,,,,,,,,,
2026/2/25,丙午年正月 初九日 庚寅月 庚午日,丙午年,正月,初九,丙午,庚寅,庚午,,,,,,,,,,,,
2026/2/26,丙午年正月 初十日 庚寅月 辛未日,丙午年,正月,初十,丙午,庚寅,辛未,,,,,,,,,,,,
